lineup_key,archetype_lineup,possessions,minutes,points,fga_2pt,fga_3pt,fgm_2pt,fgm_3pt,ftm,fta,pts_2pt,pts_3pt,pts_ft,ast,tov,w_pct,plus_minus,off_rating,pace,ast_pct,ast_to,pct_fga_2pt,pct_fga_3pt,pct_pts_2pt,pct_pts_2pt_mr,pct_pts_3pt,pct_pts_ft,pct_pts_off_tov,pct_pts_paint
0_0_4_5_7,0_0_4_5_7,7440,3720.0,2206,833,0,833,0,0,0,1666,0,0,0,0,1.0,2206,29.650537634408604,100.0,0.0,0,100.0,0.0,100.0,30.0,0.0,0.0,0.0,80.0
0_0_3_5_7,0_0_3_5_7,5308,2654.0,1528,537,0,537,0,0,0,1074,0,0,0,0,1.0,1528,28.786737000753583,100.0,0.0,0,100.0,0.0,100.0,30.0,0.0,0.0,0.0,80.0
0_0_0_4_5,0_0_0_4_5,4771,2385.5,1609,633,0,633,0,0,0,1266,0,0,0,0,1.0,1609,33.72458604066234,100.0,0.0,0,100.0,0.0,100.0,30.0,0.0,0.0,0.0,80.0
0_1_4_5_7,0_1_4_5_7,481,240.5,173,63,0,63,0,0,0,126,0,0,0,0,1.0,173,35.96673596673597,100.0,0.0,0,100.0,0.0,100.0,30.0,0.0,0.0,0.0,80.0
0_0_1_4_5,0_0_1_4_5,723,361.5,221,81,0,81,0,0,0,162,0,0,0,0,1.0,221,30.567081604426004,100.0,0.0,0,100.0,0.0,100.0,30.0,0.0,0.0,0.0,80.0
0_0_0_0_4,0_0_0_0_4,2911,1455.5,842,294,0,294,0,0,0,588,0,0,0,0,1.0,842,28.924768120920646,100.0,0.0,0,100.0,0.0,100.0,30.0,0.0,0.0,0.0,80.0
0_2_3_4_4,0_2_3_4_4,196,98.0,62,17,0,17,0,0,0,34,0,0,0,0,1.0,62,31.63265306122449,100.0,0.0,0,100.0,0.0,100.0,30.0,0.0,0.0,0.0,80.0
0_0_2_4_4,0_0_2_4_4,459,229.5,166,66,0,66,0,0,0,132,0,0,0,0,1.0,166,36.165577342047925,100.0,0.0,0,100.0,0.0,100.0,30.0,0.0,0.0,0.0,80.0
0_0_2_3_4,0_0_2_3_4,6318,3159.0,2047,751,0,751,0,0,0,1502,0,0,0,0,1.0,2047,32.39949351060462,100.0,0.0,0,100.0,0.0,100.0,30.0,0.0,0.0,0.0,80.0
0_0_3_3_4,0_0_3_3_4,8501,4250.5,2566,915,0,915,0,0,0,1830,0,0,0,0,1.0,2566,30.184684154805318,100.0,0.0,0,100.0,0.0,100.0,30.0,0.0,0.0,0.0,80.0
0_3_3_3_4,0_3_3_3_4,4008,2004.0,1210,441,0,441,0,0,0,882,0,0,0,0,1.0,1210,30.18962075848303,100.0,0.0,0,100.0,0.0,100.0,30.0,0.0,0.0,0.0,80.0
2_3_3_3_4,2_3_3_3_4,4569,2284.5,1375,488,0,488,0,0,0,976,0,0,0,0,1.0,1375,30.09411249726417,100.0,0.0,0,100.0,0.0,100.0,30.0,0.0,0.0,0.0,80.0
0_2_3_3_4,0_2_3_3_4,6252,3126.0,1905,732,0,732,0,0,0,1464,0,0,0,0,1.0,1905,30.47024952015355,100.0,0.0,0,100.0,0.0,100.0,30.0,0.0,0.0,0.0,80.0
0_0_0_3_4,0_0_0_3_4,9141,4570.5,2852,1055,0,1055,0,0,0,2110,0,0,0,0,1.0,2852,31.200087517777046,100.0,0.0,0,100.0,0.0,100.0,30.0,0.0,0.0,0.0,80.0
0_0_3_4_4,0_0_3_4_4,2423,1211.5,775,305,0,305,0,0,0,610,0,0,0,0,1.0,775,31.985142385472553,100.0,0.0,0,100.0,0.0,100.0,30.0,0.0,0.0,0.0,80.0
0_3_3_4_4,0_3_3_4_4,1264,632.0,350,131,0,131,0,0,0,262,0,0,0,0,1.0,350,27.689873417721518,100.0,0.0,0,100.0,0.0,100.0,30.0,0.0,0.0,0.0,80.0
2_3_3_4_4,2_3_3_4_4,632,316.0,235,92,0,92,0,0,0,184,0,0,0,0,1.0,235,37.18354430379747,100.0,0.0,0,100.0,0.0,100.0,30.0,0.0,0.0,0.0,80.0
0_0_2_3_5,0_0_2_3_5,7089,3544.5,2258,865,0,865,0,0,0,1730,0,0,0,0,1.0,2258,31.852165326562282,100.0,0.0,0,100.0,0.0,100.0,30.0,0.0,0.0,0.0,80.0
0_0_2_5_5,0_0_2_5_5,4692,2346.0,1489,547,0,547,0,0,0,1094,0,0,0,0,1.0,1489,31.734867860187556,100.0,0.0,0,100.0,0.0,100.0,30.0,0.0,0.0,0.0,80.0
0_2_3_5_5,0_2_3_5_5,5180,2590.0,1620,610,0,610,0,0,0,1220,0,0,0,0,1.0,1620,31.27413127413127,100.0,0.0,0,100.0,0.0,100.0,30.0,0.0,0.0,0.0,80.0
