# stan_version_major = 2
# stan_version_minor = 37
# stan_version_patch = 0
# model = bayesian_model_k8_model
# start_datetime = 2025-10-16 14:10:29 UTC
# method = sample (Default)
#   sample
#     num_samples = 100
#     num_warmup = 50
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/pg/h43qtx4x58lgfqw9x7205wvc0000gn/T/tmp8y4lz8b4/z0qoxosl.json
# init = 2 (Default)
# random
#   seed = 42
# output
#   file = /var/folders/pg/h43qtx4x58lgfqw9x7205wvc0000gn/T/tmp8y4lz8b4/bayesian_model_k8e4ydyclq/bayesian_model_k8-20251016101028_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.37.0
# stancflags = --filename-in-msg=bayesian_model_k8.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta_0,beta_off.1,beta_off.2,beta_off.3,beta_off.4,beta_off.5,beta_off.6,beta_off.7,beta_off.8,beta_def.1,beta_def.2,beta_def.3,beta_def.4,beta_def.5,beta_def.6,beta_def.7,beta_def.8,sigma
# Adaptation terminated
# Step size = 0.00100676
# Diagonal elements of inverse mass matrix:
# 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
33938.059,0.78730396,0.0010067627,2,3,0,-33692.8,0.23128634,0.12033964,0.034277864,0.031359126,0.3466038,0.013244093,0.03102202,0.040420574,0.03467646,0.24296119,0.056183811,0.035660769,0.32882174,0.031857901,0.045438092,0.061232804,0.024671406,0.57430787
34163.44,0.36928258,0.0010067627,2,3,0,-33931.625,0.23057723,0.11963112,0.034080407,0.031087527,0.34517893,0.013163443,0.030800544,0.04017797,0.034471005,0.24272456,0.055908187,0.035449096,0.3286337,0.031609295,0.045190359,0.060995701,0.024506716,0.57448956
34580.353,0.98131394,0.0010067627,3,7,0,-34156.502,0.23046307,0.1183323,0.033741084,0.030611744,0.34167734,0.013028168,0.030369757,0.039769816,0.033925649,0.24315192,0.055324466,0.034987444,0.32730504,0.031323294,0.044919115,0.060295445,0.02420101,0.57387311
34627.147,0.68430063,0.0010067627,2,3,0,-34572.237,0.23021799,0.11813111,0.033671456,0.030568526,0.34114763,0.013010378,0.030377566,0.039730829,0.03387774,0.24330809,0.055287367,0.034948823,0.32716237,0.031232327,0.044793311,0.060265485,0.024172224,0.57281826
41395.392,1,0.0010067627,5,31,0,-34626.335,0.21865761,0.10084424,0.026268347,0.023555308,0.30596633,0.010135495,0.023665336,0.030854337,0.027066269,0.23834943,0.043273487,0.027143351,0.31051127,0.02517073,0.034793193,0.047049099,0.019013717,0.56843304
41470.102,0.885443,0.0010067627,2,3,0,-41385.614,0.21862344,0.10076831,0.026174402,0.023476413,0.30557122,0.010098166,0.023587647,0.030665008,0.026941735,0.23950427,0.043292837,0.027091582,0.31082203,0.025023581,0.034669579,0.046829143,0.018946769,0.56789431
42265.963,0.95855982,0.0010067627,3,7,0,-41460.121,0.21709772,0.097820597,0.025091866,0.022493748,0.30223285,0.0097165333,0.022768894,0.029679631,0.026136348,0.23882335,0.041711114,0.025945046,0.30133147,0.024136046,0.033090586,0.045172913,0.018441488,0.56642293
42525.427,0.46456314,0.0010067627,3,7,0,-42249.478,0.21660815,0.097168943,0.024615837,0.022039282,0.29800718,0.0096233532,0.022492289,0.029160022,0.025730018,0.23654036,0.04115634,0.025728625,0.29994726,0.023937617,0.032806591,0.044484309,0.018376205,0.56721151
42572.847,0.85780416,0.0010067627,3,7,0,-42512.409,0.21610632,0.096945656,0.024513059,0.022014253,0.29732121,0.0096303627,0.022382264,0.029068979,0.025698695,0.23527099,0.041233089,0.025606737,0.3006743,0.023818132,0.032759822,0.044328857,0.018351189,0.5665956
42639.953,0.74114176,0.0010067627,2,3,0,-42566.692,0.21614274,0.096782936,0.02446665,0.021889682,0.29717634,0.0096354075,0.022299401,0.028981049,0.02561525,0.2353734,0.041027619,0.025481886,0.30094229,0.023727176,0.032585088,0.044114643,0.018312367,0.56687926
42657.284,0.98540669,0.0010067627,2,3,0,-42634.861,0.2159693,0.096813097,0.024426941,0.021856269,0.29726473,0.0096257037,0.022295023,0.028955719,0.025640169,0.23534238,0.040982148,0.02544697,0.30048582,0.023694979,0.032554187,0.044110586,0.018276733,0.5664573
