,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,ESS_bulk/s,R_hat
y_rep[4827],0.0990271,0.0238249,0.995467,0.971374,-1.54777,0.107751,1.70468,1745.4,1864.71,66.8097,1.0007
y_rep[4828],-0.104657,0.0234327,1.00057,1.00996,-1.74123,-0.121863,1.54559,1831.26,2004.66,70.096,0.999635
y_rep[4829],-0.192448,0.024559,1.02086,1.00827,-1.85712,-0.187408,1.48967,1744.01,1848.7,66.7562,0.999845
y_rep[4830],0.0904387,0.0231077,1.01661,0.991034,-1.58144,0.0766309,1.75714,1998.96,1900.64,76.5152,1.00114
y_rep[4831],0.151754,0.0216537,0.976791,0.97755,-1.47429,0.147766,1.74397,2032.41,1863.94,77.7956,1.00054
y_rep[4832],-0.101571,0.022887,1.00118,0.99216,-1.75986,-0.0995621,1.55396,1910.32,1932.35,73.1224,1.00186
y_rep[4833],0.0530196,0.0217926,0.993804,1.00059,-1.60314,0.045476,1.68931,2081.58,1923.61,79.6775,0.999493
y_rep[4834],-0.221227,0.0234721,0.971934,0.996944,-1.83523,-0.223309,1.36064,1750.04,1777.14,66.9873,1.00192
y_rep[4835],-0.0511523,0.0228046,0.992404,0.968241,-1.67618,-0.0599504,1.62205,1890.59,1708.87,72.3673,1.00067
y_rep[4836],0.0932731,0.0228424,1.003,1.01735,-1.52783,0.0570337,1.76848,1947.68,1880.63,74.5523,0.99996
y_rep[4837],0.00565234,0.02239,1.00297,1.00546,-1.63251,0.00147233,1.63128,2003.26,2007.96,76.6799,0.999412
y_rep[4838],0.01992,0.0219434,1.03502,0.97873,-1.69681,0.00598558,1.78049,2233.59,1868.26,85.4963,1.00006
y_rep[4839],0.0424848,0.0220913,1.00271,0.994832,-1.64341,0.0496872,1.67457,2070.83,2006.55,79.2662,0.99986
y_rep[4840],0.032821,0.0229861,1.03155,1.00322,-1.66439,0.0417766,1.74406,2035.1,1847.07,77.8984,0.999316
y_rep[4841],-0.10796,0.0224842,0.994324,0.992205,-1.76086,-0.0988375,1.45799,1953.63,1854.6,74.7801,1.00201
