matchup_id,beta_0,beta_off_0,beta_def_0,beta_off_1,beta_def_1,beta_off_2,beta_def_2,beta_off_3,beta_def_3,beta_off_4,beta_def_4,beta_off_5,beta_def_5,beta_off_6,beta_def_6,beta_off_7,beta_def_7
0,-1.85197141448725e-05,7.39764903275e-06,1.7585039177e-05,3.143578991075e-05,1.5053252192500002e-05,1.2417665401750001e-05,1.6084637585000005e-05,7.63371585825e-06,3.70252734775e-06,3.3664670622500005e-06,6.5457477577500004e-06,9.935466536500002e-06,7.68721885475e-06,1.6468692326500002e-05,1.050858558625e-05,5.8738321575249996e-06,6.208583135e-06
1,-0.8406762407975,2.468283195175,2.3281732067500003,0.47636225149999994,1.091302450175,0.491188346525,0.30077141170000005,1.5166802909500001,0.3685594248,0.771782178575,0.5390899725,0.8858404514749999,2.63482346345,1.6796755014000002,0.5944074168499999,4.1784430645,6.291542488749999
2,-1.1512508297524999e-05,7.4261716025000004e-06,4.65498223975e-06,4.34993779e-06,8.91276022e-06,1.2695083233e-05,5.126466598249999e-06,1.2748109226249997e-05,7.980155357e-06,3.6971157045000005e-06,4.740289239749999e-06,6.5000136097499996e-06,1.4831706767250001e-05,1.36558849935e-05,3.41203605525e-05,5.883577697749999e-06,6.54996040825e-06
3,2.1681944490000008e-06,6.4616397099999995e-06,8.17062060025e-06,6.01663442975e-06,1.33610955655e-05,1.5601373701999997e-05,1.5621748728499998e-05,2.1374630401499996e-05,6.3349834765e-06,3.639112523e-06,8.08310584025e-06,6.397658659999999e-06,9.421695108e-06,1.82405838105e-05,2.1674304434750002,8.55881698125e-06,1.62082129905e-05
4,-4.2788421317499996e-05,5.434241545250001e-05,1.2400002243500002e-05,1.23923488285e-05,2.2199128645e-05,6.758355254000001e-05,5.143957358749999e-05,1.6185109615749998e-05,2.560578914e-05,8.232490787000001e-06,2.4987332710000002e-05,2.94665715025e-05,2.231941058075e-05,2.1570614129750002e-05,2.133412301975e-05,3.67346222125e-05,1.899623830325e-05
5,-4.35136778095e-05,6.408740052750001e-06,3.3062209954999996e-05,6.425641228249999e-06,3.24503059875e-05,2.7134990152499994e-05,1.2339124919250001e-05,3.9974194163e-06,1.567057883975e-05,2.3080939255000002e-05,1.3473697129999999e-05,1.22265444e-05,6.879219882499999e-06,3.43782908125e-05,2.3757192720999996e-05,1.0159635490249999e-05,1.100539723425e-05
6,0.8625181294874998,0.8256991837750001,0.45551609295000006,2.3920225486,0.48468325977499993,1.1622532667499998,2.1382783661499998,1.152853390175,2.7597812117499996,0.24006979385000002,0.34376260667499997,0.6429778592750001,2.0764485442500002,4.0438834493249995,0.5991858939,0.26493728050000004,1.7143641981250002
7,0.15879518764999997,1.4456378874749998,1.279165002725,0.20301895185,1.2099134727249998,1.4183998030749998,6.27698245925,3.5464041447499994,4.4177639705,2.4703342294999997,0.339524798125,1.80823608175,1.425438059525,3.170233017975,0.7182136941750001,0.312776869775,5.212147708575
8,-1.136747627225,0.8109526404999999,0.389686055775,1.164023210525,1.0438181612,2.24357485735,2.853573074,1.1953939872,1.2288131553999997,0.689003687525,1.8811160289999997,0.7843894552999999,0.6088849718999999,0.1857079692,1.92265321135,0.32029478659999994,3.5782635855499993
9,-0.016269345424999956,0.46054783715,1.084818621,1.394036107825,1.009807875475,0.837995744375,0.7743311602,2.0111180587249997,0.17013101567499997,2.85752599725,0.7663105502499999,1.915417055,1.0885305353749999,1.5402456084,2.265658488325,1.4044758572249998,3.1754481602499998
10,0.12544447092500008,2.0788699894,0.287600105,0.30697412952500003,1.990212697,0.349668612725,3.7543932785000003,0.128766291325,2.6803123822500003,0.8722940971750001,1.0939200426,6.983828762749999,0.57958168495,0.20515347390000002,2.558704691925,0.3357200954,1.8101286544000001
11,0.697058788525,6.847534494249999,0.8300974716999999,2.141361603525,2.81096582855,1.440881656925,3.4575618351500004,6.43005481175,1.075008488625,1.9307398785,2.0843311506249997,1.745579972525,1.57945225545,1.6283810394,2.14041359175,0.88705523325,3.1598513550000003
12,8.2696849105e-06,8.798101607750001e-06,6.186534817e-06,1.292300034375e-05,7.6533839695e-06,5.9691537611e-05,1.7988973795e-05,7.95977261825e-06,2.3499999210500002e-05,2.5337576631999998e-06,4.22483351225e-06,6.86602532725e-06,5.720853718999999e-06,4.0360482335000004e-05,1.569044889375e-05,5.8758773165e-06,1.2027472225249998e-05
13,-0.227826867875,2.3679378712,1.7809201322500001,1.4394650007,0.428300858025,0.958968568075,0.2938909179,1.1482200845500001,0.7411236117,1.37946290715,0.720846254175,0.88625184865,4.07797467955,0.759590653775,0.6795609373249999,0.51420955505,2.682478577
14,4.7411938004e-05,1.102908046425e-05,1.2904028722000002e-05,3.9158150975e-06,1.456618636425e-05,1.634689755625e-05,2.4942297515e-05,2.6602644234500003e-05,2.7042175378499998e-05,6.735041469000001e-06,2.625416841525e-06,4.78888899225e-06,2.7957570919249997e-06,4.195162019e-05,2.74533580385e-05,8.4997255235e-06,6.159841259749999e-05
15,-2.4843910836999997e-06,6.09218586625e-06,4.887864768999999e-06,6.8085575674999996e-06,1.1483480551e-05,7.55921577e-06,1.94110735585e-05,4.9578947315e-06,7.663317932e-06,2.941390358925e-06,1.2223972039000001e-05,4.3479563035e-06,3.0251572278750002e-05,5.066308862249999e-05,1.391365296875,9.76413529825e-06,1.2772060289499998e-05
16,-4.19354783425e-06,1.640699179625e-05,4.12238496525e-05,1.4158072416500003e-05,1.287979328075e-05,1.6728324835e-05,2.9392300338250003e-05,8.7565148815e-06,1.030366244475e-05,3.59137764025e-06,1.6943720229e-05,1.5650450034e-05,5.268452172075e-06,2.833137274325e-05,2.184669603775e-05,8.90000556725e-06,3.958296921475e-05
