,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,ESS_bulk/s,R_hat
y_pred[588],0.141388,0.32891,1.0401,1.16808,-0.985184,-0.0625609,1.78728,5.0,5.0,357.143,1.13894
y_pred[589],0.0446887,0.235389,0.744365,0.822866,-1.02694,-0.0296378,1.01657,5.0,5.0,357.143,0.906097
y_pred[590],-0.31221,0.299174,0.828017,0.46287,-1.79693,-0.0111902,0.413719,5.0,5.0,357.143,1.58204
y_pred[591],-0.283572,0.340855,1.07372,1.31126,-1.74255,-0.149368,1.09039,5.0,5.0,357.143,1.05408
y_pred[592],-0.293527,0.223248,0.705972,0.751179,-1.34128,-0.228855,0.592867,5.0,5.0,357.143,0.96293
y_pred[593],-0.829902,0.287306,0.908542,0.374257,-2.29068,-0.618511,0.221175,5.0,5.0,357.143,0.995182
y_pred[594],-0.442135,0.287162,0.908087,1.26086,-1.76621,-0.565747,0.667982,5.0,5.0,357.143,1.30127
y_pred[595],-0.294029,0.203797,0.644463,0.440895,-0.957513,-0.482165,0.807551,5.0,5.0,357.143,1.31544
y_pred[596],-0.230579,0.419608,1.32692,0.699886,-2.2079,-0.130688,1.48109,5.0,5.0,357.143,0.911167
y_pred[597],-0.533691,0.212093,0.670695,0.73793,-1.38761,-0.443542,0.338118,5.0,5.0,357.143,1.0018
y_pred[598],-0.0302962,0.241361,0.76325,0.790509,-1.03058,0.0330422,1.02743,5.0,5.0,357.143,1.21289
y_pred[599],-0.853182,0.445683,1.04113,0.508592,-1.89287,-1.24531,0.765751,5.0,5.0,357.143,1.18184
y_pred[600],-0.576874,0.354958,0.993295,1.14858,-2.10929,-0.539051,0.516627,5.0,5.0,357.143,1.4296
y_pred[601],-0.0207661,0.2811,0.888915,1.09413,-1.37213,-0.126181,1.07798,5.0,5.0,357.143,0.900788
y_pred[602],-0.987604,0.576277,1.43959,1.34935,-3.02866,-1.2142,0.869739,5.0,5.0,357.143,1.20178
y_pred[603],-0.335318,0.329087,1.04067,0.880265,-1.71757,-0.372045,1.25446,5.0,5.0,357.143,0.971449
y_pred[604],-0.391742,0.312992,0.989768,0.657308,-1.90732,-0.461796,0.992018,5.0,5.0,357.143,1.26581
y_pred[605],-0.221051,0.380888,1.20447,1.30334,-2.01106,-0.337135,1.34872,5.0,5.0,357.143,0.940624
y_pred[606],-0.69991,0.378486,1.19688,1.06665,-2.74683,-0.28712,0.515718,5.0,5.0,357.143,1.05408
y_pred[607],0.261485,0.259178,0.819594,0.901202,-0.740687,0.0179109,1.44101,5.0,5.0,357.143,1.20178
y_pred[608],-0.474977,0.351935,1.11292,0.57567,-1.77085,-0.698491,1.33811,5.0,5.0,357.143,0.932323
y_pred[609],-0.554005,0.271796,0.859496,0.559705,-1.71991,-0.532854,0.643842,5.0,5.0,357.143,0.913955
y_pred[610],0.829836,0.196012,0.619845,0.697864,0.0489982,0.785262,1.76797,5.0,5.0,357.143,0.911167
y_pred[611],0.962565,0.360023,1.13849,1.38674,-0.492201,1.08905,2.63242,5.0,5.0,357.143,0.920715
y_pred[612],0.544747,0.161874,0.51189,0.497988,-0.182597,0.614957,1.21081,5.0,5.0,357.143,0.945309
y_pred[613],0.681669,0.35364,1.11831,1.2079,-0.804492,0.651945,2.22809,5.0,5.0,357.143,1.0093
y_pred[614],1.80085,0.183019,0.578756,0.609563,1.14427,1.65018,2.6216,5.0,5.0,357.143,1.0018
y_pred[615],1.07951,0.288712,0.912989,0.96539,-0.0273643,1.03536,2.39204,5.0,5.0,357.143,1.03528
y_pred[616],1.0303,0.294389,0.930938,0.974493,-0.221634,1.03679,2.2716,5.0,5.0,357.143,1.05
y_pred[617],1.19674,0.242712,0.662536,0.678413,0.310751,1.08229,2.16724,5.0,5.0,357.143,0.961878
y_pred[618],0.949182,0.24482,0.774189,0.644247,0.187512,0.721573,2.23736,5.0,5.0,357.143,1.0018
y_pred[619],0.088985,0.367612,0.968382,0.857851,-0.868314,-0.215071,1.72885,5.0,5.0,357.143,1.30127
