player_id,player_name,WINGSPAN,CSFGA,CS3PA,AVGDIST,SIXTto3PTr
1627780,Gary Payton II,,1.5,1.5,,
1627783,Pascal Siakam,,4.3,3.8,,
1627814,Damion Lee,,1.3,1.2,,
1627824,Guerschon Yabusele,,3.8,3.7,,
1627826,Ivica Zubac,,0.9,,,
1627827,Dorian Finney-Smith,,4.8,4.8,,
1627832,Fred VanVleet,,3.7,3.6,,
1627884,Derrick Jones Jr.,,2.7,2.7,,
1627936,Alex Caruso,,2.8,2.7,,
1628365,Markelle Fultz,,0.4,0.3,,
1628366,Lonzo Ball,,4.4,4.3,,
1628368,De'Aaron Fox,,3.2,3.1,,
1628369,Jayson Tatum,,3.0,2.7,,
1628370,Malik Monk,,3.9,3.8,,
1628371,Jonathan Isaac,,2.4,2.0,,
1628374,Lauri Markkanen,,8.0,7.8,,
1628378,Donovan Mitchell,,3.6,3.4,,
1628379,Luke Kennard,,3.2,3.0,,
1628380,Zach Collins,,1.9,1.6,,
1628381,John Collins,,3.8,3.5,,
1628384,OG Anunoby,,5.1,5.0,,
1628386,Jarrett Allen,,0.5,0.0,,
1628389,Bam Adebayo,,3.9,2.2,,
1628392,Isaiah Hartenstein,,2.5,0.3,,
1628396,Tony Bradley,,0.3,0.2,,
1628398,Kyle Kuzma,,3.6,3.4,,
1628401,Derrick White,,6.1,6.0,,
1628404,Josh Hart,,2.5,2.3,,
1628408,PJ Dozier,,0.3,0.3,,
1628415,Dillon Brooks,,5.3,5.1,,
1628418,Thomas Bryant,,2.3,2.1,,
1628420,Monté Morris,,1.6,1.6,,
1628427,Vlatko Čančar,,1.2,1.2,,
1628436,Luke Kornet,,0.1,0.0,,
1628449,Chris Boucher,,3.6,3.5,,
1628464,Daniel Theis,,1.3,0.9,,
1628467,Maxi Kleber,,1.4,1.4,,
1628470,Torrey Craig,,2.2,2.2,,
1628960,Grayson Allen,,4.5,4.5,,
1628963,Marvin Bagley III,,0.8,0.6,,
1628964,Mo Bamba,,1.8,1.7,,
1628969,Mikal Bridges,,5.4,4.9,,
1628970,Miles Bridges,,4.0,3.9,,
1628971,Bruce Brown,,2.2,1.8,,
1628973,Jalen Brunson,,1.9,1.9,,
1628975,Jevon Carter,,1.5,1.4,,
1628976,Wendell Carter Jr.,,3.0,2.3,,
1628978,Donte DiVincenzo,,5.0,5.0,,
1628981,Bruno Fernando,,0.3,,,
1628983,Shai Gilgeous-Alexander,,1.3,1.0,,
1628988,Aaron Holiday,,2.2,2.2,,
1628989,Kevin Huerter,,4.4,4.3,,
1628991,Jaren Jackson Jr.,,4.6,4.4,,
1628995,Kevin Knox II,,1.0,1.0,,
1628997,Caleb Martin,,2.3,1.8,,
1628998,Cody Martin,,2.5,2.3,,
1629001,De'Anthony Melton,,4.2,4.2,,
1629003,Shake Milton,,1.4,1.4,,
1629004,Svi Mykhailiuk,,2.6,2.6,,
1629006,Josh Okogie,,2.1,2.0,,
1629008,Michael Porter Jr.,,4.9,4.6,,
1629011,Mitchell Robinson,,0.0,,,
1629012,Collin Sexton,,2.1,2.0,,
1629013,Landry Shamet,,2.4,2.3,,
1629014,Anfernee Simons,,4.4,4.3,,
1629018,Gary Trent Jr.,,4.5,4.4,,
1629020,Jarred Vanderbilt,,0.9,0.9,,
1629021,Moritz Wagner,,2.5,2.5,,
1629022,Lonnie Walker IV,,4.3,4.2,,
1629023,P.J. Washington,,3.2,3.1,,
1629026,Kenrich Williams,,2.2,2.2,,
1629027,Trae Young,,1.6,1.4,,
1629028,Deandre Ayton,,3.7,0.8,,
1629029,Luka Dončić,,2.6,2.4,16.69,0.4506
1629048,Goga Bitadze,,0.5,0.4,,
1629052,Oshae Brissett,,2.7,2.7,,
1629056,Terence Davis,,1.0,1.0,,
1629057,Robert Williams III,,0.3,0.2,,
1629060,Rui Hachimura,,4.4,4.1,,
1629098,Jack McVeigh,,1.2,1.2,,
1629111,Jock Landale,,1.1,0.5,,
1629130,Duncan Robinson,,4.1,4.1,,
1629162,Jordan McLaughlin,,0.6,0.6,,
1629216,Gabe Vincent,,3.3,3.2,,
1629234,Drew Eubanks,,0.2,0.1,,
1629312,Haywood Highsmith,,3.1,3.0,,
1629599,Amir Coffey,,3.1,3.0,,
1629610,DaQuan Jeffries,,3.2,3.1,,
1629611,Terance Mann,,1.7,1.6,,
1629614,Andrew Nembhard,,2.4,2.0,,
1629618,Jalen Pickett,,1.7,1.6,,
1629622,Max Strus,,4.9,4.9,,
1629626,Bol Bol,,2.3,2.0,,
1629627,Zion Williamson,,0.2,0.2,,
1629628,RJ Barrett,,4.7,4.7,,
1629629,Cam Reddish,,1.4,1.3,,
1629630,Ja Morant,,2.6,2.6,,
1629631,De'Andre Hunter,,4.9,4.7,,
1629632,Coby White,,4.5,4.5,,
1629634,Brandon Clarke,,0.7,0.3,,
1629636,Darius Garland,,3.2,3.1,,
1629637,Jaxson Hayes,,0.1,0.1,,
1629638,Nickeil Alexander-Walker,,3.7,3.6,,
1629639,Tyler Herro,,4.6,4.4,,
1629640,Keldon Johnson,,3.0,3.0,,
1629643,Chuma Okeke,,2.7,2.7,,
1629645,Kevin Porter Jr.,,0.9,0.9,,
1629646,Charles Bassey,,0.3,,,
1629650,Moses Brown,,0.2,,,
1629651,Nic Claxton,,1.0,0.3,,
1629652,Luguentz Dort,,5.1,5.0,,
1629655,Daniel Gafford,,0.1,,,
1629656,Quentin Grimes,,3.4,3.3,,
1629659,Talen Horton-Tucker,,1.6,1.6,,
1629660,Ty Jerome,,1.7,1.7,,
1629661,Cameron Johnson,,5.2,5.1,,
1629667,Jalen McDaniels,,0.0,,,
1629669,Jaylen Nowell,,2.6,2.5,,
1629673,Jordan Poole,,4.2,4.1,,
1629674,Neemias Queta,,0.2,0.0,,
1629675,Naz Reid,,4.8,4.7,,
1629680,Matisse Thybulle,,2.9,2.8,,
1629684,Grant Williams,,3.8,3.6,,
1629723,John Konchar,,1.3,1.3,,
1629726,Garrison Mathews,,4.0,3.9,,
1629731,Dean Wade,,3.6,3.6,,
1629750,Javonte Green,,2.0,2.0,,
1630162,Anthony Edwards,,2.7,2.6,,
1630163,LaMelo Ball,,4.7,4.6,,
1630164,James Wiseman,,3.0,1.0,,
1630165,Killian Hayes,,2.8,2.7,,
1630166,Deni Avdija,,3.8,3.7,,
1630167,Obi Toppin,,3.3,3.3,,
1630168,Onyeka Okongwu,,2.1,2.0,,
1630169,Tyrese Haliburton,,2.0,2.0,,
1630170,Devin Vassell,,5.3,5.0,,
1630171,Isaac Okoro,,2.5,2.5,,
1630172,Patrick Williams,,3.1,3.1,,
1630173,Precious Achiuwa,84.75,0.8,0.6,,
1630174,Aaron Nesmith,,3.6,3.6,,
1630175,Cole Anthony,,2.3,2.3,,
1630178,Tyrese Maxey,,3.1,3.1,,
1630182,Josh Green,81.75,3.5,3.4,,
1630183,Jaden McDaniels,,3.3,3.2,,
1630188,Jalen Smith,86.25,3.4,3.3,,
1630191,Isaiah Stewart,88.75,0.8,0.7,,
1630192,Zeke Nnaji,86.0,1.0,0.9,,
1630193,Immanuel Quickley,80.25,3.7,3.5,,
1630194,Paul Reed,86.0,1.1,0.5,,
1630198,Isaiah Joe,79.5,4.7,4.6,,
1630200,Tre Jones,,1.0,0.9,,
1630201,Malachi Flynn,,1.0,1.0,,
1630202,Payton Pritchard,,4.9,4.9,,
1630205,Lamar Stevens,81.0,1.4,1.4,,
1630208,Nick Richards,86.25,0.5,0.0,,
1630214,Xavier Tillman,86.0,0.9,0.9,,
1630215,Jared Butler,,1.7,1.7,,
1630217,Desmond Bane,,2.8,2.6,,
1630222,Mason Jones,79.0,0.7,0.7,,
1630224,Jalen Green,,3.5,3.3,,
1630227,Daishen Nix,,0.3,0.3,,
1630228,Jonathan Kuminga,,2.5,2.4,,
1630230,Naji Marshall,84.75,2.8,2.7,,
1630231,KJ Martin,79.25,1.3,1.3,,
1630241,Sam Merrill,,4.4,4.3,,
1630243,Trevelin Queen,,1.5,1.5,,
1630245,Ayo Dosunmu,,3.5,3.5,,
1630249,Vít Krejčí,,2.9,2.8,,
1630256,Jae'Sean Tate,,0.8,0.8,,
1630264,Anthony Gill,,0.6,0.6,,
1630283,Kylor Kelley,,0.3,,,
1630288,Jeff Dowtin Jr.,,0.7,0.7,,
1630296,Braxton Key,,0.3,0.3,,
1630311,Pat Spencer,,0.4,0.4,,
1630314,Brandon Williams,,1.2,1.1,,
1630322,Lindy Waters III,,3.0,2.9,,
1630346,Matt Ryan,,0.9,0.8,,
1630526,Jeremiah Robinson-Earl,,2.5,2.3,,
1630527,Brandon Boston,,2.1,2.0,,
1630528,Josh Christopher,,0.6,0.6,,
1630529,Herbert Jones,,3.9,3.4,,
1630530,Trey Murphy III,,5.5,5.4,,
1630531,Jaden Springer,,0.9,0.9,,
1630532,Franz Wagner,,3.4,3.3,,
1630533,Ziaire Williams,,4.3,4.3,,
1630534,Ochai Agbaji,,3.7,3.7,,
1630537,Chris Duarte,,0.4,0.4,,
1630538,Bones Hyland,,1.1,1.1,,
1630539,Kai Jones,,0.1,0.0,,
1630540,Miles McBride,,3.1,3.0,,
1630541,Moses Moody,,4.1,4.0,,
1630542,Marcus Bagley,,2.8,2.7,,
1630543,Isaiah Jackson,,0.0,,,
1630544,Tre Mann,,2.2,2.2,,
1630545,Terrence Shannon Jr.,80.75,0.8,0.8,,
1630548,Johnny Juzang,,4.0,4.0,,
1630549,Day'Ron Sharpe,,1.0,0.9,,
1630550,JT Thor,,1.1,1.0,,
1630551,Justin Champagnie,,2.8,2.8,,
1630552,Jalen Johnson,,3.5,3.2,,
1630553,Keon Johnson,,4.0,3.9,,
1630556,Kessler Edwards,,1.4,1.3,,
1630557,Corey Kispert,,4.7,4.6,,
1630558,Davion Mitchell,,2.0,2.0,,
1630559,Austin Reaves,,4.0,3.9,,
1630560,Cam Thomas,,2.7,2.5,,
1630561,David Duke Jr.,,1.0,1.0,,
1630567,Scottie Barnes,,3.3,2.8,,
1630568,Luka Garza,,1.0,0.9,,
1630570,Trendon Watford,,1.6,1.6,,
1630572,Sandro Mamukelashvili,,2.4,2.4,,
1630573,Sam Hauser,,4.6,4.5,,
1630574,Ariel Hukporti,86.5,0.0,,,
1630577,Julian Champagnie,,5.1,5.1,,
1630578,Alperen Sengun,,2.4,0.9,,
1630579,Jericho Sims,,0.0,,,
1630581,Josh Giddey,,3.2,3.1,,
1630583,Santi Aldama,,4.6,4.4,,
1630585,Marcus Garrett,,1.8,1.8,,
1630590,Scotty Pippen Jr.,,2.4,2.4,,
1630591,Jalen Suggs,,4.3,4.2,,
1630592,Jalen Wilson,,4.4,4.3,,
1630595,Cade Cunningham,,2.2,2.1,,
1630596,Evan Mobley,,2.9,2.7,,
1630598,Aaron Wiggins,,3.8,3.7,,
1630600,Isaiah Mobley,,3.0,3.0,,
1630604,E.J. Liddell,,0.8,0.8,,
1630611,Gui Santos,,1.8,1.7,,
1630618,D.J. Carton,,0.8,0.8,,
1630623,Tyson Etienne,,5.9,5.9,,
1630625,Dalano Banton,,2.5,2.5,,
1630631,Jose Alvarado,,3.6,3.6,,
1630639,A.J. Lawson,,3.6,3.6,,
1630643,Jay Huff,,3.1,3.0,,
1630644,Mac McClung,,0.5,0.5,,
1630649,Stanley Umude,,0.7,0.7,,
1630658,Colin Castleton,,0.9,0.6,,
1630678,Terry Taylor,,0.0,,,
1630692,Jordan Goodwin,,2.0,2.0,,
1630695,Micah Potter,,2.6,2.5,,
1630696,Dru Smith,,1.7,1.7,,
1630699,MarJon Beauchamp,,0.4,0.4,,
1630700,Dyson Daniels,,2.7,2.5,,
1630702,Jaden Hardy,,2.7,2.6,,
1630703,Scoot Henderson,,2.6,2.4,,
1630762,Phillip Wheeler,,1.2,1.2,,
1630811,Keaton Wallace,,1.9,1.9,,
1631093,Jaden Ivey,,2.9,2.8,,
1631094,Paolo Banchero,,2.2,2.0,,
1631095,Jabari Smith Jr.,,4.6,4.3,,
1631096,Chet Holmgren,,3.8,3.3,,
1631097,Bennedict Mathurin,,1.8,1.7,,
1631098,Johnny Davis,,0.4,0.4,,
1631099,Keegan Murray,,5.4,5.3,,
1631101,Shaedon Sharpe,,3.4,3.2,,
1631102,TyTy Washington Jr.,,0.9,0.9,,
1631103,Malaki Branham,,1.4,1.4,,
1631104,Blake Wesley,,0.9,0.9,,
1631105,Jalen Duren,,0.0,,,
1631106,Tari Eason,,3.1,3.0,,
1631107,Nikola Jović,,4.2,4.1,,
1631108,Max Christie,,3.4,3.4,,
1631109,Mark Williams,,0.9,0.1,,
1631110,Jeremy Sochan,,1.8,1.6,,
