matchup_id,beta_0,beta_off_0,beta_def_0,beta_off_1,beta_def_1,beta_off_2,beta_def_2,beta_off_3,beta_def_3,beta_off_4,beta_def_4,beta_off_5,beta_def_5,beta_off_6,beta_def_6,beta_off_7,beta_def_7
0,-2.64130911081878e-06,6.5277257914000006e-06,6.438001329700001e-06,4.62330050535e-06,5.009786203250001e-06,9.994124910849999e-06,1.412471745445e-05,9.8874407974e-06,4.8657271842499994e-06,2.9303208422e-06,7.3666907483000005e-06,4.5101309233e-06,5.44354319695e-06,1.6015749126999997e-05,1.00401195926e-05,8.13435809575e-06,7.66811922765e-06
1,0.311546554775,1.432689071005,2.1923502418500003,2.164522529325,0.539252741285,3.93637693431,1.26035425435,1.6370824634799999,0.41555975792000005,1.215695975325,2.203484300935,1.334626250955,0.9394094069400001,2.8649352536699997,2.8238630290499995,1.34699656229,3.1618013727500003
2,-4.031195479165099e-06,2.44428573285e-06,4.8452773791500004e-06,4.42285985765e-06,8.242335825199999e-06,8.014491048549999e-06,5.5560913603e-06,9.791110459599998e-06,2.4353899971e-06,3.05325853755e-06,5.734122632649999e-06,4.4201561009999995e-06,4.5852422289e-06,1.3753935887600001e-05,2.9958272322e-05,3.99966954715e-06,8.8033060228e-06
3,4.995231178333999e-07,7.50865265495e-06,4.36471842185e-06,2.4652047987999997e-06,1.13878124332e-05,1.3217621355e-05,1.275296157545e-05,7.14824710655e-06,6.15410089825e-06,3.1370909176e-06,7.1156573299e-06,6.8160351437000005e-06,4.89298207635e-06,1.3061187625e-05,2.0504448689899997,1.3345605317499999e-05,3.745794684550001e-05
4,-3.6880841555e-05,1.63057319295e-05,1.414518766755e-05,1.4535938035500001e-05,1.075567439155e-05,8.959503890999999e-05,4.0807102006000005e-05,1.0516916346450002e-05,1.8203697726e-05,8.416132419550001e-06,2.46505088465e-05,3.2080525713e-05,3.1744565057500003e-05,2.8707090822999998e-05,1.57795100735e-05,1.74823722615e-05,1.01079542241e-05
5,-9.141576750735e-06,8.203523592800001e-06,2.6631485493e-05,4.170782499849999e-06,1.7666722692e-05,2.2714062767500002e-05,1.0108899838950001e-05,1.67642880433e-05,7.76674206925e-06,4.70668378845e-06,1.466176738905e-05,1.041601090305e-05,5.8493061271699995e-06,3.1907407381e-05,2.4938896728e-05,9.312325839449999e-06,5.161938565400001e-06
6,-0.11465967253500002,1.0351599718000002,1.7563565846850002,3.3571660157400003,1.1900482623849997,3.2708166138,2.482587311575,5.59607076996,1.5342869435450002,0.27690749294,0.490635855095,1.6005281251699999,2.3742698952165,3.3589427483699996,2.486903290415,2.3189174459,2.4386567595549997
7,0.30836685863,1.1727885670150002,1.3534090296849999,0.253396409265,1.901276417865,3.1013595272350005,4.849990887285,3.848778635255,4.394330677535001,2.404638398485,1.56023805191,0.6616988590799999,4.011389875465,2.13553350585,1.02113589929,2.7275909116849997,1.9749297681399998
8,-0.498253567679,2.72451907916,1.1195006547200002,1.7076463613049997,1.7928214391650001,3.7224249414799995,2.24616182346,1.12970036909,1.392962534005,0.89282531457,1.93766951749,1.0807792153700002,0.5671437432149999,0.263466004685,1.868595697055,1.211659119725,1.2854310368175001
9,-0.21189406591999996,0.9055030428899999,0.9395788757949999,1.2660201883300002,1.3211813772749998,3.4143669092150004,0.9448733103850001,2.34377411015,0.5103371644495001,2.326093639285,0.6585776247149999,1.05862688308,2.4625921713400003,1.295763111975,2.2118123658849997,2.1666653777165004,1.693639565025
10,0.6393927601,4.114488069905,0.9909610420199999,0.675735500565,1.43817483866,2.084893425925,5.050897402871501,1.03436354886,5.1279746049999995,3.0581507956,3.3850601696500005,3.0372383508049996,2.079278001915,0.9707849417849999,3.2404583168949994,1.6762092891799998,2.796404768895
11,0.19898787960999995,4.267269393339999,3.1895822818850004,2.48068841595,2.2883067343900003,1.42115433351,1.084278195905,2.78670899655,1.7617732059599998,1.66713479082,3.69498854675,3.031920844565,2.002240480215,1.553630270715,2.19967876237,0.48119526993499995,3.1249077756999997
12,3.1611328451417003e-06,6.0005328864e-06,4.01871222795e-06,4.2333500399500005e-06,6.86888919825e-06,8.77350345475e-06,1.3414746075499998e-05,7.9445813915e-06,4.773888859300001e-06,2.64166748195e-06,3.5209287408e-06,7.10617420065e-06,5.496917881199999e-06,2.5567051519499998e-05,1.085848308795e-05,5.1073372983e-06,6.3890066384e-06
13,-0.691328779125,1.4088960979899998,3.4800042588699998,0.89421060283,0.573586020925,1.43076595241,1.0098133305349999,1.46059100826,0.991387154365,0.7004902360290001,2.189189622635,1.637162793395,2.58401773078,2.365774986395,0.550087260915,3.4640748627499995,1.1462887361999998
14,9.357505796450002e-06,6.26620767415e-06,2.32577958315e-06,3.65159599385e-06,9.8064687197e-06,9.746904358100001e-06,1.0430385263649998e-05,7.066256094149999e-06,3.50550326215e-06,3.2297315489e-06,7.1942707265e-06,8.13918395585e-06,3.1012254486e-06,4.11957812465e-05,3.8354957582e-05,1.075600246185e-05,6.422783971700001e-06
15,3.3175657593425e-06,5.8151625794499995e-06,6.0144680899e-06,4.58753180855e-06,1.20262681275e-05,8.2258590328e-06,1.7425291701999998e-05,5.405734064549999e-06,6.3834064923e-06,3.5387807097499995e-06,3.5823418996e-06,8.02164450455e-06,1.2278808729750001e-05,4.487535838950001e-05,0.59383808137,8.4903015721e-06,1.20632210898e-05
16,-2.007970649225e-05,1.36667512212e-05,2.528389057825e-05,1.122270250225e-05,1.1091230040350002e-05,2.5611814881550003e-05,6.4830253267e-06,9.75309997745e-06,6.978968265749999e-06,3.2976267429e-06,3.4798332853e-05,1.017319841315e-05,7.957834509050001e-06,2.9662340066000006e-05,2.2869109973999997e-05,1.226308206505e-05,7.41692481475e-06
17,5.082116464950001e-05,1.037527034345e-05,3.8236887400500004e-05,1.3215584089399998e-05,1.9746153788499998e-05,1.1418003941499999e-05,5.6113871017000004e-05,7.728623110799999e-06,1.5879862349849997e-05,7.616630666099999e-06,2.3851857102e-05,1.45965748559e-05,9.425260715500001e-06,7.1461113685e-05,8.6159922934e-05,2.2789894509000005e-05,2.2520515342499998e-05
18,7.3937475024517e-06,7.609346601550001e-06,1.16244288042e-05,1.4873341740349999e-05,7.82115708e-06,1.4602685777e-05,1.6669109746500003e-05,8.263721040549999e-06,8.0004692992e-06,5.10193057035e-06,8.68153731465e-06,8.9344436087e-06,1.7710089093499998e-05,1.44649084824,1.457252491295e-05,1.7730859116000005e-05,1.1414158431950001e-05
19,1.36007143548,3.253610241405,2.5565469659500004,1.1649336631044998,1.2122967226949999,0.86769118107,1.8127712026549998,3.5005279667200004,1.08555324157,1.4139372856649997,1.22868868969,2.2191573700950005,0.771746436525,1.3709503509149998,1.131749400805,2.6803777915949993,1.02285370628
20,-3.970208960999994e-08,3.14709604735e-06,5.915854411550001e-06,1.3432862172799999e-05,6.047730168e-06,1.01911638899e-05,1.190727817805e-05,1.00257170566e-05,9.889048445299999e-06,6.0151125911999996e-06,4.9752733695499996e-06,8.42879033e-06,8.328192710100001e-06,0.726834361095,1.4629816626349999e-05,1.4792834047700001e-05,8.35465725425e-06
21,-1.0352999707357e-05,7.0324962376e-06,5.8409338482e-06,1.6037514683999998e-05,1.6598852825e-05,1.84733152925e-05,1.67494390585e-05,7.653906774699999e-06,1.0655449320999998e-05,7.2800503997e-06,1.0013523475499998e-05,7.5653040661e-06,1.790757965025e-05,5.016974030499999,4.2524183467,2.31911099395e-05,2.154259397225e-05
22,-1.0310737628314999e-05,1.0138072419299998e-05,1.8028053908449998e-05,8.567804376800001e-05,8.2601042024e-06,5.0345021182e-05,8.425022423199998e-05,2.19858023565e-05,2.4495603983e-05,4.57902111295e-06,2.3634324885e-05,2.97869042765e-05,3.001755893735e-05,3.5021227541999997,2.76984211165e-05,3.4507253949000006e-05,1.32863117986e-05
23,6.925590776949999e-05,8.4518553743e-06,0.00016012411201500002,6.307859380849999e-05,5.250284557850001e-05,2.019142467e-05,4.037478050650001e-05,2.4301259922e-05,2.8092012201e-05,1.15332534278e-05,3.5993921429e-05,2.2079218254e-05,1.250661728495e-05,0.657828727835,7.161758898599999e-05,2.92720286395e-05,3.1716079397e-05
24,7.33066368736595e-06,2.2529705699500004e-05,1.0073986288800002e-05,6.99127274395e-06,1.005935202855e-05,6.217232318299999e-05,2.69855035635e-05,8.56211719495e-06,7.0667306157e-06,5.81938956895e-06,6.19803143865e-06,7.958657392600001e-06,6.01393211525e-06,1.2764890786900001e-05,2.81972376885e-05,9.3716457265e-06,1.082553883125e-05
25,-0.5860170530750002,0.41077196825,2.81733128755,3.014528843865,0.79337397171,2.966511631435,1.1992573785149998,1.2961635406949998,0.53141681238,4.492059852700001,0.84024774252,3.5529198262499992,2.1068469737649997,1.2701466076019998,1.7536050394649996,1.619531741275,3.0740570256649997
26,3.39120161498035e-06,1.197143567355e-05,9.4650489864e-06,5.357357104700001e-06,1.3961297858400002e-05,3.6805596959e-05,8.7984502281e-06,8.9298985315e-06,1.11735483225e-05,8.808442135149999e-06,1.265545650695e-05,1.05639089736e-05,5.0407487229e-06,1.566890835945e-05,4.12546156955e-05,1.532908555145e-05,1.45452048703e-05
27,6.163441759224984e-07,6.31839145445e-06,6.27495917505e-06,9.6212778491e-06,3.1468124851e-05,5.3959229147499996e-05,3.40365106945e-05,9.95727233235e-06,2.2053970078500002e-05,6.8118943554e-06,2.6924209118499998e-05,6.07668436275e-06,1.83509721935e-05,2.6601687407499996e-05,2.22982546643,1.26710338337e-05,3.742451773429999e-05
28,-2.086171116950001e-06,6.2346037743e-05,9.67421729825e-06,4.07919343225e-05,1.22369527757e-05,0.00015889577127500002,2.3435747377999998e-05,3.2771604263e-05,1.22424213091e-05,1.42920619507e-05,2.55128706565e-05,1.2741557486700001e-05,2.5151795952e-05,6.90699468075e-05,3.6916235633249997e-05,2.35749108338e-05,2.05590753565e-05
29,2.7926899042950004e-05,2.10556565305e-05,0.00011140364543799999,1.0677449051449999e-05,2.96783209886e-05,7.922010489349999e-05,2.281325405375e-05,1.2479049390150002e-05,2.4145255000999995e-05,9.873770553399999e-06,4.2321873434999996e-05,3.2888428281e-05,5.81046593365e-05,3.88742216205e-05,2.77932831195e-05,1.0918264946449999e-05,1.3347225306199998e-05
30,-7.256118389256499e-06,3.6043289601999994e-05,5.82337744375e-06,6.5230475839e-06,9.5510836979e-06,3.2127085513999994e-05,2.3896983628000004e-05,3.0153579533e-05,1.49388457674e-05,5.5759895218e-06,9.2478442832e-06,1.485531482925e-05,1.24608219547e-05,2.5832385988500005e-05,3.521609144e-05,1.7145713245e-05,2.9902639152000002e-05
31,0.49029628001500003,1.4631086011249999,0.763249207471,0.71169878918,4.99843985866,1.31601880071,1.2376104023999999,1.51420449728,1.773383781275,1.5854889947450002,3.801165971597,2.2362717074150003,3.409057373835,0.24916008893499997,1.9064689618850001,1.868464292195,1.0281770460550002
