outcome,matchup_id,off_supercluster,def_supercluster,season,z_off_0,z_def_0,z_off_1,z_def_1,z_off_2,z_def_2,z_off_3,z_def_3,z_off_4,z_def_4,z_off_5,z_def_5,z_off_6,z_def_6,z_off_7,z_def_7
0,35,5,5,2018-19,0.0,3.105543768,3.519901764,0.0,0.0,0.0,-0.5118065933,0.0,0.0,-0.06305312881,-1.21584711,0.06742624366,1.768016147,0.0,0.0,0.0688713924
0,35,5,5,2018-19,0.0,3.105543768,3.519901764,0.0,0.0,0.0,-0.5118065933,0.0,0.0,-0.06305312881,-1.21584711,0.06742624366,1.768016147,0.0,0.0,0.0688713924
0,35,5,5,2018-19,0.0,3.105543768,3.519901764,0.0,0.0,0.0,-0.5118065933,0.0,0.0,-0.06305312881,-1.21584711,0.06742624366,1.768016147,0.0,0.0,0.0688713924
0,35,5,5,2018-19,0.0,3.105543768,3.519901764,0.0,0.0,0.0,-0.5118065933,0.0,0.0,-0.06305312881,-1.21584711,0.06742624366,1.768016147,0.0,0.0,0.0688713924
0,35,5,5,2018-19,0.0,3.105543768,3.519901764,0.0,0.0,0.0,-0.5118065933,0.0,0.0,-0.06305312881,-1.21584711,0.06742624366,1.768016147,0.0,0.0,0.0688713924
0,35,5,5,2018-19,0.0,3.105543768,3.519901764,0.0,0.0,0.0,-0.5118065933,0.0,0.0,-0.06305312881,-1.21584711,0.06742624366,1.768016147,0.0,0.0,0.0688713924
0,35,5,5,2018-19,0.0,3.105543768,3.519901764,0.0,0.0,0.0,-0.5118065933,0.0,0.0,-0.06305312881,-1.21584711,0.06742624366,1.768016147,0.0,0.0,0.0688713924
0,35,5,5,2018-19,0.0,3.105543768,3.519901764,0.0,0.0,0.0,-0.5118065933,0.0,0.0,-0.06305312881,-1.21584711,0.06742624366,1.768016147,0.0,0.0,0.0688713924
0,35,5,5,2018-19,0.0,3.105543768,3.519901764,0.0,0.0,0.0,-0.5118065933,0.0,0.0,-0.06305312881,-1.21584711,0.06742624366,1.768016147,0.0,0.0,0.0688713924
0,35,5,5,2018-19,0.0,3.105543768,3.519901764,0.0,0.0,0.0,-0.5118065933,0.0,0.0,-0.06305312881,-1.21584711,0.06742624366,1.768016147,0.0,0.0,0.0688713924
0,35,5,5,2018-19,0.0,3.105543768,3.519901764,0.0,0.0,0.0,-0.5118065933,0.0,0.0,-0.06305312881,-1.21584711,0.06742624366,1.768016147,0.0,0.0,0.0688713924
0,35,5,5,2018-19,0.0,3.105543768,3.519901764,0.0,0.0,0.0,-0.5118065933,0.0,0.0,-0.06305312881,-1.21584711,0.06742624366,1.768016147,0.0,0.0,0.0688713924
0,35,5,5,2018-19,0.0,3.105543768,3.519901764,0.0,0.0,0.0,-0.5118065933,0.0,0.0,-0.06305312881,-1.21584711,0.06742624366,1.768016147,0.0,0.0,0.0688713924
0,35,5,5,2018-19,2.6686471302999997,2.295611499,0.0,2.008392812,1.582244437,0.0,-1.109021908,-0.8960710572999999,0.0,-0.9923759686,0.4824930947,0.0,0.0,0.0,0.0,0.0
0,35,5,5,2018-19,2.6686471302999997,2.295611499,0.0,2.008392812,1.582244437,0.0,-1.109021908,-0.8960710572999999,0.0,-0.9923759686,0.4824930947,0.0,0.0,0.0,0.0,0.0
0,35,5,5,2018-19,2.6686471302999997,2.295611499,0.0,2.008392812,1.582244437,0.0,-1.109021908,-0.8960710572999999,0.0,-0.9923759686,0.4824930947,0.0,0.0,0.0,0.0,0.0
0,35,5,5,2018-19,2.6686471302999997,2.295611499,0.0,2.008392812,1.582244437,0.0,-1.109021908,-0.8960710572999999,0.0,-0.9923759686,0.4824930947,0.0,0.0,0.0,0.0,0.0
0,35,5,5,2018-19,2.6686471302999997,2.295611499,0.0,2.008392812,1.582244437,0.0,-1.109021908,-0.8960710572999999,0.0,-0.9923759686,0.4824930947,0.0,0.0,0.0,0.0,0.0
0,35,5,5,2018-19,2.6686471302999997,2.295611499,0.0,2.008392812,1.582244437,0.0,0.0,-0.8960710572999999,0.0,-0.9923759686,3.4238214617000002,0.0,0.0,0.0,0.0,0.0
0,35,5,5,2018-19,2.6686471302999997,2.295611499,0.0,2.008392812,1.582244437,0.0,0.0,-0.8960710572999999,0.0,-0.9923759686,2.4162086199,0.0,0.0,0.0,0.0,0.0
0,35,5,5,2018-19,2.6686471302999997,2.295611499,0.0,2.008392812,1.582244437,0.0,0.0,-0.8960710572999999,0.0,-0.9923759686,2.4162086199,0.0,0.0,0.0,0.0,0.0
0,35,5,5,2018-19,2.6686471302999997,2.295611499,0.0,2.008392812,1.582244437,0.0,0.0,-0.8960710572999999,0.0,-0.9923759686,2.4162086199,0.0,0.0,0.0,0.0,0.0
0,35,5,5,2018-19,2.6686471302999997,2.295611499,0.0,2.008392812,1.582244437,0.0,0.0,-0.8960710572999999,0.0,-0.9923759686,2.4162086199,0.0,0.0,0.0,0.0,0.0
0,35,5,5,2018-19,2.6686471302999997,2.295611499,0.0,2.008392812,1.582244437,0.0,0.0,-0.8960710572999999,0.0,-0.9923759686,2.4162086199,0.0,0.0,0.0,0.0,0.0
0,35,5,5,2018-19,2.6686471302999997,2.295611499,0.0,2.008392812,1.582244437,0.0,0.0,-0.8960710572999999,0.0,-0.9923759686,2.4162086199,0.0,0.0,0.0,0.0,0.0
0,35,5,5,2018-19,2.6686471302999997,2.295611499,0.0,2.008392812,1.582244437,0.0,0.0,-0.8960710572999999,0.0,-0.9923759686,2.4162086199,0.0,0.0,0.0,0.0,0.0
0,35,5,5,2018-19,2.6686471302999997,2.295611499,0.0,2.008392812,1.582244437,0.0,0.0,-0.8960710572999999,0.0,-0.9923759686,2.4162086199,0.0,0.0,0.0,0.0,0.0
