archetype_lineup,WFGMPercUAST,WFGMPercAST,WThreeFGMPercUAST,WThreeFGMPercAST,WTwoFGMPercUAST,WTwoFGMPercAST,WPercPTSPITP,WPercPTSOffTO,WPercPTSFT,WPercPTSFBPS,WPercPTS3PT,WPercPTSMR,WPercPTS2PT,WPercFGA3PT,WPercFGA2PT,WOppTORATIOpercent,WOppFTARATE,WPACE,total_minutes,archetype_count
-1_-1_-1_-1_-1,0.06136277259976473,0.12324133562573522,0.027915120803547192,0.1553271197176726,0.07613338159442586,0.10846665460139356,0.08172789792778934,0.02894760655144331,0.02756266401230658,0.025248846258257174,0.06372138268030042,0.011596235634784183,0.09332187132386209,0.07678264410460593,0.10781965432992491,0.02551986245588635,0.04431816125237535,19.090661478599223,2210.2,408
-1_-1_-1_-1_0,0.06893459571226467,0.11879312221133966,0.02910273152682555,0.15535694852541082,0.08789966264011319,0.09982859941234085,0.08115083251714007,0.029733920992491024,0.026887582979649584,0.026133964522799,0.06803297420829253,0.011662857764718686,0.0928115137664599,0.07953368157579715,0.1081907715747089,0.02675916857111764,0.04696212863206008,19.27426270540864,1837.8,345
-1_-1_-1_-1_1,0.06188613557239402,0.10502559901699775,0.02922690968666803,0.13767868113864426,0.07867294695883677,0.08823673970919516,0.07056010649191072,0.024202334630350195,0.025345074749129632,0.024093794798279746,0.05920233463035019,0.011809338521400778,0.08236842105263158,0.0699180831456072,0.0969875076797051,0.022818963751791932,0.0416977268072906,17.19103010444399,976.6,163
-1_-1_-1_-1_2,0.04865007180469124,0.10293920536141694,0.022047231530237753,0.12954364129567575,0.06337322482846657,0.08821924365725227,0.060301579703207264,0.023606191160044677,0.023598212861018028,0.017654380086165627,0.05791447263443434,0.009778203287059199,0.07007180469123983,0.06741822243497686,0.08417743737035263,0.021592468485718844,0.03200893569490984,15.416387426200734,626.7,95
-1_-1_-1_-1_3,0.06029809619238478,0.11255260521042083,0.017339679358717438,0.1555060120240481,0.08318386773547094,0.08966683366733467,0.06878507014028057,0.026668336673346695,0.026558116232464932,0.018166332665330662,0.061735971943887774,0.015759018036072145,0.08454408817635271,0.07305110220440882,0.09979458917835672,0.023023547094188378,0.046054609218436876,17.310771543086172,399.2,69
-1_-1_-1_0_0,0.07160118078175895,0.12893322475570032,0.027762622149837136,0.17073188110749185,0.09280842833876221,0.10772597719869707,0.08694727198697069,0.030821457654723126,0.03103929153094463,0.027636400651465796,0.07127951954397395,0.01126119706840391,0.09820134364820847,0.08553949511400652,0.11498982084690554,0.02736461726384365,0.046425081433224755,20.604702768729645,982.4,197
-1_-1_-1_0_1,0.07272403082940297,0.11938686299321294,0.03143103646612217,0.15952835614862534,0.0926066950419878,0.09950764983319912,0.07988151386172783,0.030052916139422525,0.028747267916714597,0.027074657770620042,0.06882549177499138,0.01466467272518118,0.09454158518348096,0.07922351317151732,0.11288738065109859,0.027619924076843442,0.04895088001840561,19.940791441389624,869.3,167
-1_-1_-1_0_2,0.06555284552845529,0.11534552845528455,0.029302845528455284,0.15159146341463414,0.08427235772357725,0.0966260162601626,0.07533739837398375,0.026747967479674797,0.02669512195121951,0.0255609756097561,0.06830894308943089,0.010554878048780489,0.08588008130081301,0.0801260162601626,0.10076829268292684,0.02465040650406504,0.045119918699186995,18.5655081300813,492.0,89
-1_-1_-1_0_3,0.05686925985953539,0.09440302539168018,0.024927066450567262,0.1263425175580767,0.07280929227444626,0.07846029173419773,0.06513236088600757,0.02061048082117774,0.020521339816315504,0.017930848190167478,0.05671799027552674,0.00891139924365208,0.07403025391680172,0.07056185845488926,0.08070772555375473,0.018554835224203134,0.033068611561318205,14.988168557536467,370.2,56
-1_-1_-1_1_1,0.06794228694714131,0.12083872707659116,0.03168554476806904,0.15710086299892126,0.08544228694714132,0.10334142394822007,0.08357605177993527,0.029466019417475727,0.027055016181229772,0.026734088457389428,0.0660329018338727,0.012146709816612727,0.09570927723840345,0.07828748651564185,0.11049352750809062,0.024759978425026967,0.046076051779935276,19.661596548004315,370.8,70
