outcome,matchup_id,season,z_off_0,z_def_0,z_off_1,z_def_1,z_off_2,z_def_2,z_off_3,z_def_3,z_off_4,z_def_4,z_off_5,z_def_5,z_off_6,z_def_6,z_off_7,z_def_7
0,0_vs_0,2018-19,0.0,0.0,2.154256949,0.9922599147000001,5.320449392,0.0,-1.597216136,0.0,0.0,-2.595360137,0.1431979423,0.870105986,0.0,0.0,-1.212015754,0.0
0,0_vs_0,2018-19,0.0,0.0,3.3262894833,2.0679951264,-0.4078338038,0.05649434992,0.0,0.0,0.0,0.0,-1.600358435,2.299245726,0.0,3.517201191,-1.091802002,0.0
0,0_vs_0,2020-21,0.0,0.0,1.734141317,0.0,1.760307971,0.0,0.0,0.0,0.75328786486,-2.58120704,0.0,0.7938408956,1.427153112,0.7707913069,0.0,0.0
3,0_vs_0,2020-21,0.0,0.0,0.0,1.827230238,0.0,1.189121348,-1.293378178,0.0,2.1892982226199997,-0.9124675462,0.6475146192,1.533110779,0.0,0.0,0.0,-1.611277475
0,0_vs_0,2020-21,0.0,0.0,-0.05476464139999998,0.9149407788,0.0,0.7744203446,0.5780372449,0.0,-1.2896523626,-1.3841838479000002,0.0,0.0,0.0,0.0,0.0,-1.805122266
0,0_vs_0,2021-22,0.0,0.0,2.534797827,0.0,0.0,0.0,0.0,0.0,-1.52274816,1.8533300457039998,1.230504869,0.0,0.0,2.0904466164,0.0,0.0
0,0_vs_0,2021-22,0.0,0.0,4.5698784524,-1.064121332,0.6584670111,-0.1431203434,3.979587118,0.0,-1.317325058,-0.4484433274,0.0,0.5796725415,0.0,0.1950698121,0.0,0.0
0,0_vs_0,2020-21,0.0,0.0,1.734141317,1.4002351973000002,1.760307971,0.0,0.0,-1.405979849,-0.27063203654,1.7222534811,0.0,0.0,1.427153112,0.0,0.0,0.0
0,0_vs_0,2021-22,0.0,0.0,0.0,-0.9262968818,0.0,0.0,0.0,0.0,-1.0408015449,-1.0252457,0.1383984546,0.0,0.5292377145,-3.0845099646000005,0.0,0.0
0,0_vs_0,2020-21,0.0,0.0,3.318608654,0.9149407788,0.0,0.0,0.0,5.027346473,1.5878688470000002,1.3314045857,1.270674629,0.0,0.0,0.0,0.0,0.0
