archetype_lineup,WFGMPercUAST,WFGMPercAST,WThreeFGMPercUAST,WThreeFGMPercAST,WTwoFGMPercUAST,WTwoFGMPercAST,WPercPTSPITP,WPercPTSOffTO,WPercPTSFT,WPercPTSFBPS,WPercPTS3PT,WPercPTSMR,WPercPTS2PT,WPercFGA3PT,WPercFGA2PT,WOppTORATIOpercent,WOppFTARATE,WPACE,total_minutes,archetype_count
-1_-1_-1_-1_-1,0.049792746113989636,0.07112262521588947,0.017892918825561314,0.10300518134715027,0.06699481865284974,0.05390328151986183,0.056649395509499136,0.01606217616580311,0.020449050086355787,0.01623488773747841,0.0427979274611399,0.0009844559585492228,0.05763385146804836,0.05747841105354059,0.063419689119171,0.01811744386873921,0.02525043177892919,12.369948186528497,57.9,7
-1_-1_-1_-1_0,0.058034557235421176,0.11475161987041037,0.02267818574514039,0.15010799136069117,0.07481641468682507,0.0979697624190065,0.08146868250539957,0.02606911447084233,0.02516198704103672,0.021879049676025917,0.06090712742980563,0.005205183585313175,0.08669546436285099,0.07686825053995681,0.09593952483801296,0.023779697624190067,0.05032397408207344,17.739092872570193,46.3,8
-1_-1_-1_-1_1,0.03256038647342995,0.16067632850241548,0.0,0.1932367149758454,0.05502415458937198,0.13821256038647342,0.06893719806763285,0.0233816425120773,0.026231884057971017,0.03251207729468599,0.08391304347826087,0.014106280193236717,0.08304347826086958,0.09526570048309178,0.09797101449275362,0.026618357487922704,0.07260869565217391,19.843961352657004,20.7,4
-1_-1_-1_-1_2,0.04815789473684211,0.057105263157894735,0.014026315789473685,0.09123684210526316,0.06331578947368421,0.04194736842105263,0.04318421052631579,0.013631578947368422,0.02205263157894737,0.014210526315789474,0.03492105263157894,0.005105263157894738,0.04828947368421053,0.03747368421052631,0.06778947368421052,0.013736842105263158,0.01194736842105263,10.599736842105264,38.0,4
-1_-1_-1_-1_3,0.111,0.139,0.25,0.0,0.09375,0.15625,0.15225,0.02175,0.0435,0.02175,0.0325,0.02175,0.174,0.10875,0.14125,0.03325,0.09625,30.2525,4.0,1
-1_-1_-1_0_0,0.03478197674418605,0.06696220930232559,0.014469476744186048,0.08727470930232559,0.042223837209302326,0.0595203488372093,0.0492078488372093,0.014927325581395348,0.014607558139534887,0.01727470930232558,0.03345203488372093,0.004462209302325581,0.05367732558139535,0.045777616279069774,0.05596656976744187,0.014796511627906978,0.022296511627906978,10.58888081395349,137.6,14
-1_-1_-1_0_1,0.048049010367577756,0.07447690857681433,0.032610744580584355,0.08991517436380772,0.06046182846371348,0.06207351555136664,0.044891611687087656,0.022582469368520264,0.02051837888784166,0.013600377002827523,0.05113100848256362,0.005956644674835062,0.05085768143261075,0.06176248821866164,0.06076343072573045,0.02047125353440151,0.03182846371347785,12.237983034872762,106.1,13
-1_-1_-1_0_2,0.05892976588628763,0.10829431438127092,0.032341137123745825,0.1348829431438127,0.06488294314381271,0.10234113712374583,0.08986622073578596,0.03397993311036789,0.025418060200668897,0.026488294314381274,0.04906354515050168,0.0029096989966555186,0.09274247491638797,0.07678929765886287,0.09043478260869564,0.027257525083612042,0.09612040133779265,16.947491638795988,29.9,5
-1_-1_-1_0_3,0.031098696461824952,0.09925512104283053,0.0,0.1303538175046555,0.0426070763500931,0.08774674115456238,0.058324022346368715,0.022625698324022347,0.012849162011173183,0.013500931098696461,0.04338919925512104,0.015791433891992553,0.07411545623836127,0.046797020484171316,0.08355679702048417,0.02195530726256983,0.04361266294227188,12.800558659217876,53.7,7
-1_-1_-1_1_1,0.05014925373134328,0.09910447761194029,0.04144278606965174,0.10781094527363183,0.061044776119402976,0.0882089552238806,0.08089552238805969,0.014179104477611941,0.011194029850746268,0.022388059701492533,0.0499502487562189,0.0072636815920398,0.0881094527363184,0.05253731343283582,0.09671641791044776,0.016318407960199004,0.061144278606965176,15.298009950248755,20.1,3
