outcome,matchup_id,z_off_0,z_def_0,z_off_1,z_def_1,z_off_2,z_def_2,z_off_3,z_def_3,z_off_4,z_def_4,z_off_5,z_def_5,z_off_6,z_def_6,z_off_7,z_def_7
0,0_vs_0,0.0,0.0,0.0,0.0,0.63,0.0,0.0,0.0,0.0,-1.5999999999999999,0.0,0.0,-0.86,-0.47,-1.73,-2.74
0,0_vs_0,0.0,0.0,-1.72,0.0,-0.88,0.0,0.0,0.0,3.02,-0.32,0.4,0.0,0.0,0.0,-0.07,2.55
7,0_vs_0,0.0,0.0,0.0,0.0,-0.67,1.77,0.0,0.0,4.27,0.0,0.0,0.0,0.0,0.0,-1.39,1.3499999999999999
26,0_vs_0,0.0,0.0,0.0,1.22,0.06,1.36,0.0,0.0,0.0,-0.95,0.0,-0.11,1.42,0.0,0.96,-0.35
6,0_vs_0,0.0,0.0,0.0,-1.48,0.0,0.0,0.0,0.0,0.0,-1.23,-1.28,0.31,1.29,0.0,0.5900000000000001,0.039999999999999925
0,0_vs_0,0.0,0.0,2.95,0.73,0.0,0.67,0.0,0.0,2.27,-1.98,-0.43,0.0,0.0,0.0,1.07,-0.6699999999999999
0,0_vs_0,0.0,0.0,0.0,0.0,0.63,1.22,0.0,0.0,0.4,-2.99,0.25,0.0,0.26,0.0,-1.9,-0.84
0,0_vs_0,0.0,0.0,0.0,0.0,1.39,1.77,0.0,0.0,4.6899999999999995,0.0,0.0,0.0,1.97,0.0,0.0,1.3499999999999999
0,0_vs_0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.55,-1.5999999999999999,0.0,2.89,1.29,-0.47,-0.48,0.71
0,0_vs_0,0.0,0.0,0.0,-0.59,-1.54,0.0,0.0,0.0,0.8,-0.47,-0.08,0.0,-1.7,0.0,1.73,2.64
1,0_vs_0,0.0,0.0,0.0,0.0,0.63,-0.87,0.0,0.0,0.4,-1.11,0.0,0.0,0.26,-1.11,-1.16,1.9699999999999998
0,0_vs_0,0.0,0.0,-1.04,0.0,1.05,0.0,0.0,0.0,1.6,0.0,0.4,0.37,0.0,-0.18,0.0,-3.91
3,0_vs_0,0.0,0.0,-0.39,0.0,0.0,0.43,0.0,0.0,0.0,-2.49,0.0,0.0,0.0,0.0,3.8899999999999997,-0.7999999999999999
0,0_vs_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5999999999999999,-3.9699999999999998,0.0,-0.86,-0.47,-1.73,-0.6400000000000001
0,0_vs_0,0.0,0.0,0.0,1.62,0.03,2.96,0.0,0.0,0.82,-3.17,0.0,-0.07,0.86,0.0,0.99,0.0
0,0_vs_0,0.0,0.0,2.12,-0.17,0.0,0.99,0.0,0.0,4.7299999999999995,-0.11,-0.43,0.0,0.0,-0.48,-1.13,-1.05
0,0_vs_0,0.0,0.0,-0.81,0.73,-1.28,0.0,0.0,0.0,0.0,-0.97,0.0,0.56,0.54,0.0,-0.9800000000000001,-1.07
0,0_vs_0,0.0,0.0,1.52,0.0,0.0,0.74,0.0,0.0,5.67,-0.66,-0.86,0.0,0.0,-1.05,-0.19,-0.06000000000000005
3,0_vs_0,0.0,0.0,0.0,0.0,-1.58,3.0,0.0,0.0,-0.01,0.53,-0.07,1.0,0.0,0.0,-0.51,-1.64
0,0_vs_0,0.0,0.0,-1.47,0.0,-1.51,0.43,0.0,0.0,3.66,-0.97,0.0,0.0,0.0,0.0,1.2,1.16
10,0_vs_0,0.0,0.0,0.0,0.0,0.0,0.46,0.0,0.0,0.98,-0.62,-1.72,0.59,-1.69,0.0,-0.8,1.99
0,0_vs_0,0.0,0.0,0.0,0.0,1.05,2.96,0.0,0.0,1.6,-1.23,0.21,0.8300000000000001,0.29,0.0,-0.07,-0.67
4,0_vs_0,0.0,0.0,0.0,-0.25,0.13,0.46,0.0,0.0,0.73,-0.62,-1.93,0.0,0.0,0.0,1.09,1.99
0,0_vs_0,0.0,0.0,-1.27,0.0,0.0,0.0,0.0,0.0,4.62,-1.32,0.61,-0.52,0.0,0.0,0.0,2.6599999999999997
2,0_vs_0,0.0,0.0,-1.52,0.0,0.0,0.0,0.0,0.0,3.39,-1.98,-0.16,-0.22,-2.11,-0.48,0.58,-2.26
20,0_vs_0,0.0,0.0,0.0,0.0,-0.1,1.4,0.0,0.0,2.28,-0.48,0.0,0.0,0.0,0.0,-1.63,2.6599999999999997
0,0_vs_0,0.0,0.0,0.0,0.0,0.0,3.1100000000000003,0.0,0.0,0.0,-0.73,-1.93,0.0,0.54,0.0,3.61,-0.84
0,0_vs_0,0.0,0.0,0.0,0.5,-1.22,2.12,0.0,0.0,3.8099999999999996,-0.11,0.0,0.0,-0.29,-0.48,-1.64,0.1
4,0_vs_0,0.0,0.0,0.67,0.0,0.0,0.43,0.0,0.0,0.0,-1.24,-2.32,0.0,0.86,0.0,0.99,0.5999999999999999
7,0_vs_0,0.0,0.0,0.0,0.0,-0.25,2.18,0.0,0.0,2.83,-1.31,1.46,1.63,0.0,0.0,0.0,-0.30000000000000004
8,0_vs_0,0.0,0.0,0.0,0.0,0.63,1.99,0.0,0.0,2.26,0.0,0.0,-0.26,0.0,-1.8900000000000001,-1.76,1.59
2,0_vs_0,0.0,0.0,0.4,0.0,5.15,0.0,0.0,0.0,2.37,0.11999999999999988,0.0,0.83,0.0,0.0,1.5,-0.73
0,0_vs_0,0.0,0.0,-0.28,0.24,2.26,0.65,0.0,0.0,3.21,1.35,-0.64,1.13,0.0,0.0,-1.46,1.18
0,0_vs_0,0.0,0.0,2.95,0.0,0.0,0.0,0.0,0.0,4.7299999999999995,-0.6,0.0,1.1099999999999999,0.0,0.0,-1.13,-0.5200000000000001
0,0_vs_0,0.0,0.0,-0.23,0.0,0.0,1.4,0.0,0.0,4.63,-0.48,0.08,0.38,0.0,0.0,-0.33,-0.23
12,0_vs_0,0.0,0.0,0.0,0.0,0.51,0.99,0.0,0.0,3.25,-0.73,0.0,0.0,0.0,-0.48,-0.25999999999999995,0.1
0,0_vs_0,0.0,0.0,-2.6399999999999997,-0.59,1.05,1.73,0.0,0.0,1.6,0.62,0.0,0.0,-0.47,0.0,0.0,0.74
0,0_vs_0,0.0,0.0,0.66,0.0,0.0,1.22,0.0,0.0,4.27,-2.99,0.5,0.0,0.0,0.0,0.9400000000000001,-0.84
0,0_vs_0,0.0,0.0,2.95,0.51,0.0,3.54,0.0,0.0,1.73,-0.16,-1.94,0.73,0.0,0.0,0.0,0.36
0,0_vs_0,0.0,0.0,0.0,0.0,0.63,0.0,0.0,0.0,2.26,-0.36,0.0,2.31,0.0,-0.13,-0.69,1.95
0,0_vs_0,0.0,0.0,0.0,1.3199999999999998,0.63,0.99,0.0,0.0,0.4,-0.11,0.0,0.0,0.26,-0.48,0.91,0.0
0,0_vs_0,0.0,0.0,-0.39,0.51,0.0,3.54,0.0,0.0,4.42,-0.44,-2.32,0.0,0.0,0.0,1.52,1.56
0,0_vs_0,0.0,0.0,0.0,0.82,0.0,3.1100000000000003,0.0,0.0,5.24,-0.73,-2.32,0.0,0.0,0.0,0.99,0.0
9,0_vs_0,0.0,0.0,-3.2199999999999998,0.0,0.0,0.0,0.0,0.0,3.02,-0.16,0.21,0.0,0.0,0.77,-0.07,2.55
0,0_vs_0,0.0,0.0,-2.99,0.0,0.0,0.0,0.0,0.0,0.0,-2.49,0.21,0.0,0.29,-1.53,-0.07,0.10999999999999999
0,0_vs_0,0.0,0.0,0.0,0.0,-1.68,0.0,0.0,0.0,2.65,-1.32,0.0,-0.52,0.0,-0.18,-1.6999999999999997,3.71
0,0_vs_0,0.0,0.0,0.0,0.0,0.63,3.19,0.0,0.0,0.4,1.4500000000000002,0.25,0.0,-0.86,0.0,-1.9,1.18
3,0_vs_0,0.0,0.0,0.0,0.0,0.63,0.0,0.0,0.0,2.26,0.53,0.0,0.61,0.0,1.92,-0.69,-0.43
3,0_vs_0,0.0,0.0,2.12,-0.17,0.0,0.99,0.0,0.0,7.539999999999999,-0.11,-0.43,0.0,0.0,-0.18,-1.61,-0.84
0,0_vs_0,0.0,0.0,0.07,-0.6799999999999999,2.26,0.0,0.0,0.0,5.15,0.14,0.0,1.93,2.18,0.0,0.25,1.86
0,0_vs_0,0.0,0.0,0.0,1.62,0.63,0.0,0.0,0.0,0.4,-3.17,0.25,0.31,0.26,0.0,-1.9,0.7
0,0_vs_0,0.0,0.0,0.0,0.0,1.19,0.0,0.0,0.0,5.95,-0.47,0.0,1.98,0.0,-0.54,0.96,1.86
8,0_vs_0,0.0,0.0,0.0,-0.04,-0.82,0.0,0.0,0.0,4.63,-1.6400000000000001,0.08,0.24,-0.38,0.0,0.0,0.83
0,0_vs_0,0.0,0.0,0.0,0.0,0.92,1.4,0.0,0.0,2.07,-0.48,0.0,0.0,-1.18,0.0,0.13,1.7599999999999998
0,0_vs_0,0.0,0.0,-2.8,-0.28,-0.13,1.36,0.0,0.0,1.73,0.0,0.0,0.0,-1.1,0.04,0.0,0.37
0,0_vs_0,0.0,0.0,0.0,0.0,-1.68,0.0,0.0,0.0,3.23,-0.6400000000000001,0.0,2.55,0.29,0.0,1.2,-0.51
0,0_vs_0,0.0,0.0,0.0,0.0,0.13,-0.87,0.0,0.0,0.73,-1.11,-2.51,0.0,0.0,-1.11,1.09,1.9699999999999998
0,0_vs_0,0.0,0.0,0.0,0.0,-0.38,1.99,0.0,0.0,2.83,0.0,1.46,1.8,0.0,-2.17,0.2,0.0
0,0_vs_0,0.0,0.0,0.0,1.27,0.63,0.0,0.0,0.0,0.0,0.0,0.0,1.45,0.26,-1.38,0.91,-0.15
0,0_vs_0,0.0,0.0,0.0,-0.03,0.92,0.0,0.0,0.0,2.07,-0.48,0.0,0.9,0.0,0.0,0.82,-0.18000000000000005
0,0_vs_0,0.0,0.0,0.0,0.01,0.0,1.31,0.0,0.0,4.62,-0.62,-1.54,0.0,0.0,0.0,-0.07,1.99
0,0_vs_0,0.0,0.0,0.0,1.15,-1.22,0.0,0.0,0.0,0.51,-0.16,0.0,0.0,0.6400000000000001,0.94,-1.64,1.56
11,0_vs_0,0.0,0.0,-0.62,0.0,0.06,0.99,0.0,0.0,0.55,-0.73,-1.99,0.0,1.8,-0.48,0.0,0.26
7,0_vs_0,0.0,0.0,-0.73,0.0,0.91,1.96,0.0,0.0,3.61,-0.66,0.0,0.0,0.19,0.0,0.25,-0.06000000000000005
11,0_vs_0,0.0,0.0,-0.23,-0.25,-0.82,1.77,0.0,0.0,4.63,-0.62,0.0,0.0,0.0,0.0,0.4,0.22
0,0_vs_0,0.0,0.0,0.0,0.73,0.51,0.67,0.0,0.0,2.1,-1.98,-0.09,0.0,-0.57,-0.48,0.55,-1.05
24,0_vs_0,0.0,0.0,-1.21,0.0,0.0,0.0,0.0,0.0,0.55,-1.24,0.0,0.56,-0.38,0.0,0.96,0.5999999999999999
0,0_vs_0,0.0,0.0,0.0,0.0,0.06,2.54,0.0,0.0,0.55,0.0,0.0,0.0,1.42,-0.18,1.44,-3.23
18,0_vs_0,0.0,0.0,-0.39,0.0,0.0,1.43,0.0,0.0,0.0,-0.51,0.0,0.0,0.0,-0.7,3.8899999999999997,-1.36
0,0_vs_0,0.0,0.0,2.12,0.0,0.0,0.03,0.0,0.0,5.27,2.1,-2.37,0.0,0.0,1.18,1.07,-0.84
7,0_vs_0,0.0,0.0,0.0,0.0,1.39,1.31,0.0,0.0,4.6899999999999995,-0.62,0.0,-1.24,-0.55,0.0,0.0,1.99
0,0_vs_0,0.0,0.0,0.67,0.0,0.0,0.0,0.0,0.0,2.1,0.78,0.0,2.06,0.07000000000000006,0.0,-0.75,1.2400000000000002
13,0_vs_0,0.0,0.0,0.0,0.0,-1.0,3.1100000000000003,0.0,0.0,1.8,0.0,-0.6,1.35,0.0,-0.18,0.6799999999999999,-0.84
0,0_vs_0,0.0,0.0,0.0,0.82,6.79,3.1100000000000003,0.0,0.0,2.74,-0.62,0.0,0.0,0.0,-0.48,1.1,0.0
0,0_vs_0,0.0,0.0,0.4,0.14,1.64,0.0,0.0,0.0,2.74,0.77,-3.12,1.63,0.0,-0.56,-2.44,0.0
0,0_vs_0,0.0,0.0,0.0,0.0,0.0,1.8900000000000001,0.0,0.0,0.8,-2.99,-0.08,0.0,-2.73,0.0,1.73,0.0
0,0_vs_0,0.0,0.0,0.66,0.0,0.0,0.41,0.0,0.0,-0.11,-0.92,0.0,0.04,0.0,0.0,-1.5299999999999998,-0.7999999999999999
0,0_vs_0,0.0,0.0,1.52,0.0,0.0,0.41,0.0,0.0,0.51,-0.92,-0.03,0.04,0.0,0.0,1.33,-1.09
29,0_vs_0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.14,-0.47,-2.51,0.0,-2.36,-0.54,0.0,1.9000000000000001
14,0_vs_0,0.0,0.0,-1.52,-0.85,-0.1,1.78,0.0,0.0,3.39,0.07,0.0,0.11,-1.02,0.0,1.81,0.0
3,0_vs_0,0.0,0.0,-0.39,0.0,0.0,0.0,0.0,0.0,0.82,-1.11,-0.51,1.83,0.86,0.0,1.0,1.9699999999999998
0,0_vs_0,0.0,0.0,0.0,0.0,1.05,1.05,0.0,0.0,1.6,0.0,-1.94,0.0,0.29,0.0,-0.07,-4.989999999999999
0,0_vs_0,0.0,0.0,-1.6800000000000002,1.19,-0.19,0.0,0.0,0.0,0.0,2.1,0.0,0.0,-1.18,0.0,-0.28,-1.6400000000000001
