game_id,event_num,home_player_1_id,home_player_2_id,home_player_3_id,home_player_4_id,home_player_5_id,away_player_1_id,away_player_2_id,away_player_3_id,away_player_4_id,away_player_5_id,offensive_team_id,defensive_team_id,score,score_margin,home_archetype_lineup,away_archetype_lineup,offensive_supercluster,defensive_supercluster
0022400963,272,202709,1628371,1628976,1631094,1631216,203497,203944,1628978,1630162,1630183,1610612753.0,1610612750,,,0_1_2_2_2,0_1_1_2_2,0,0
0022400845,640,201939,203110,1626172,1627741,1641764,1628976,1630175,1630532,1631094,1641783,1610612744.0,1610612753,,,0_1_1_2_2,0_1_1_1_2,0,0
0022400526,270,203507,1626171,1627752,1629018,1631260,1628976,1630175,1631094,1631216,1641783,1610612749.0,1610612753,,,0_0_2_2_2,0_1_1_2_2,0,0
0022401029,513,203471,1630191,1631204,1631323,1641842,203468,1628971,1630526,1630631,1631288,1610612740.0,1610612765,92 - 93,1,0_1_1_2_2,1_1_2_2_2,0,0
0022401004,667,201587,201935,1627732,1627739,1627826,1628374,1628381,1641729,1642268,1642271,1610612746.0,1610612762,113 - 110,-3,0_1_1_2_2,0_1_2_2_2,0,0
0022401142,81,203932,203999,1629008,1629618,1631128,1628418,1629614,1630169,1631097,1641716,1610612743.0,1610612754,17 - 20,3,0_0_1_2_2,1_1_2_2_2,0,0
0022400675,237,1627777,1628386,1629636,1630241,1641854,1626204,1629631,1630700,1630811,1642258,1610612737.0,1610612739,41 - 52,11,0_1_2_2_2,1_1_2_2_2,0,0
0022400652,557,203484,1628371,1628976,1631094,1641710,1626179,1628389,1629639,1631107,1641796,1610612753.0,1610612748,,,0_1_1_2_2,0_1_2_2_2,0,0
0022400877,560,203937,1626179,1628389,1629130,1629639,203114,203935,1630551,1641731,1642267,1610612748.0,1610612764,,,0_1_2_2_2,1_1_1_2_2,0,0
0022400652,180,1628371,1629048,1630532,1631094,1641783,1626179,1628389,1629639,1631107,1641796,1610612753.0,1610612748,,,0_1_1_2_2,0_1_2_2_2,0,0
0022400822,630,201599,203932,203999,1629008,1631128,1628418,1629614,1630167,1630169,1631097,1610612743.0,1610612754,111 - 102,-9,0_0_0_2_2,1_1_2_2_2,0,0
0022401123,455,1627936,1628983,1630598,1631114,1641717,1627832,1630224,1630256,1631095,1631106,1610612760.0,1610612745,,,1_1_2_2_2,1_1_2_2_2,0,0
0022400260,638,202699,1630191,1630595,1631093,1641842,201959,1628998,1630163,1631217,1642275,1610612765.0,1610612766,,,0_1_2_2_2,0_0_1_2_2,0,0
0022400021,548,201143,201950,1628369,1628401,1630202,1627777,1628378,1629636,1629660,1630241,1610612738.0,1610612739,,,1_1_1_2_2,1_1_1_2_2,0,0
0022401159,560,1627827,1629029,1629060,1629637,1630692,203076,1629023,1629655,1630230,1631108,1610612742.0,1610612747,,,0_1_2_2_2,0_0_2_2_2,0,0
0022400687,87,1628374,1628381,1629012,1631117,1641718,203914,1628976,1631094,1641710,1641783,1610612762.0,1610612753,,,0_0_1_1_2,0_1_1_2_2,0,0
0022400601,658,1628379,1628991,1629630,1630217,1641744,201144,1629638,1630162,1630183,1630568,1610612750.0,1610612763,,,0_1_1_2_2,1_1_2_2_2,0,0
0022400254,188,1627832,1629111,1631106,1641708,1642263,204456,1630167,1630169,1641716,1642277,1610612745.0,1610612754,,,0_0_1_2_2,1_1_2_2_2,0,0
0022400500,505,203944,1629638,1629675,1630162,1630183,201587,202695,1629599,1629611,1629645,1610612746.0,1610612750,,,1_1_2_2_2,1_1_2_2_2,0,0
0022400789,178,201143,1627759,1628369,1630202,1630573,202331,203954,1626162,1629656,1641741,1610612755.0,1610612738,,,1_1_1_2_2,0_1_2_2_2,0,0
0022400243,148,203903,1628374,1629234,1642262,1642268,201587,201935,1628964,1629599,1629645,1610612746.0,1610612762,25 - 36,11,0_1_2_2_2,1_1_2_2_2,0,0
0022400999,307,202709,203484,1628976,1629048,1630532,1627832,1630224,1630578,1631095,1631106,1610612745.0,1610612753,,,0_0_1_2_2,0_1_1_2_2,0,0
0022400610,81,1628398,1629673,1641731,1642259,1642267,2544,203076,1629060,1630559,1631108,1610612747.0,1610612764,,,1_1_2_2_2,0_1_1_2_2,0,0
0022400480,131,201142,203486,1628420,1628960,1642346,204456,1630167,1630169,1641716,1641767,1610612756.0,1610612754,,,0_1_2_2_2,1_1_2_2_2,0,0
0022400654,435,1627749,1629627,1629750,1630530,1630631,1629628,1630534,1630558,1630567,1641711,1610612740.0,1610612761,51 - 60,9,0_1_1_1_2,1_1_1_2_2,0,0
0022400650,166,203500,1628988,1630224,1631106,1641708,1628369,1629674,1630202,1630214,1641775,1610612745.0,1610612738,,,0_0_1_2_2,0_1_1_2_2,0,0
0022400427,64,203991,1629027,1630249,1630552,1642258,1628389,1629130,1629312,1629639,1631170,1610612737.0,1610612748,,,0_1_1_2_2,0_1_2_2_2,0,0
0022400805,490,202685,203897,1631099,1631165,1631222,202710,1626172,1627741,1630611,1641764,1610612758.0,1610612744,,,0_1_2_2_2,0_0_1_2_2,0,0
0022400874,590,201935,1627739,1627826,1641738,1641757,2544,1627827,1629003,1629029,1629216,1610612746.0,1610612747,,,0_1_2_2_2,1_1_2_2_2,0,0
0022400481,245,202692,1628389,1629312,1629639,1631107,1628374,1629012,1630548,1631117,1641718,1610612748.0,1610612762,40 - 31,-9,0_1_2_2_2,0_1_1_2_2,0,0
0022400057,173,203078,1626164,1626220,1642345,1642346,101108,1629640,1630170,1631110,1641705,1610612759.0,1610612756,,,0_1_1_2_2,0_0_1_2_2,0,0
0022400706,117,203999,1627750,1629008,1631124,1641816,1630526,1630530,1630631,1631255,1641722,1610612740.0,1610612743,21 - 21,TIE,0_1_2_2_2,0_1_1_2_2,0,0
0022400239,293,203991,1626204,1629027,1629726,1630700,1630166,1630703,1631101,1641739,1642270,1610612757.0,1610612737,,,0_1_1_2_2,0_1_1_1_2,0,0
0022400376,99,203076,1626156,1629060,1629216,1630559,201942,1627734,1628370,1628989,1631165,1610612758.0,1610612747,,,0_1_1_2_2,0_1_1_2_2,0,0
0022400320,348,203471,1629651,1629661,1630553,1630592,1627783,1630167,1630169,1631097,1642277,1610612754.0,1610612751,,,0_1_2_2_2,0_1_2_2_2,0,0
0022400319,648,1627759,1630202,1630214,1630573,1641775,202699,203501,1627736,1630191,1630595,1610612738.0,1610612765,110 - 124,14,1_1_2_2_2,0_1_2_2_2,0,0
0022400418,709,201942,1626168,1628368,1631099,1631165,1627736,1630595,1631093,1641709,1641842,1610612758.0,1610612765,,,1_1_2_2_2,0_1_2_2_2,0,0
0022401197,598,101108,1629162,1629640,1630577,1631104,1630534,1630658,1642347,1642367,1642419,1610612759.0,1610612761,,,1_1_1_2_2,0_1_2_2_2,0,0
0022400866,170,201566,203999,1630192,1631124,1631128,201143,1627759,1628369,1628436,1630202,1610612738.0,1610612743,,,0_1_2_2_2,0_1_1_1_2,0,0
0022400812,34,201939,202710,203110,1630541,1641764,202681,202691,203957,1629023,1630556,1610612744.0,1610612742,9 - 7,-2,0_1_1_2_2,1_1_2_2_2,0,0
0022400030,263,202696,203897,1629632,1630581,1631207,203991,1629027,1629631,1630552,1630700,1610612737.0,1610612741,41 - 41,TIE,0_1_1_1_2,0_1_1_1_2,0,0
0022400516,594,203507,1626171,1627752,1629018,1631260,101108,1630170,1630200,1630577,1641705,1610612749.0,1610612759,,,0_0_2_2_2,0_1_1_2_2,0,0
0022400239,87,203991,1626204,1629027,1630700,1642258,203924,1629057,1630625,1631101,1641739,1610612737.0,1610612757,,,0_1_1_2_2,0_1_2_2_2,0,0
0022400013,615,202696,1629632,1631207,1641763,1641824,1627747,1627777,1628386,1629636,1630171,1610612741.0,1610612739,,,0_1_2_2_2,0_1_2_2_2,0,0
