player_id,archetype_id
203932,1
202329,8
201143,1
202692,4
203458,3
203083,3
2738,7
203952,1
1627790,3
203076,2
201229,4
203085,6
202340,4
1628389,3
1627732,2
201933,2
1626171,1
203992,6
202711,1
203078,5
1627742,1
201572,4
1628971,4
1627741,4
203468,6
1627747,6
1626224,4
101108,5
203991,3
203469,3
1629012,6
202709,6
1626156,5
201571,6
203081,5
201568,1
203967,1
202722,7
1628368,5
201599,3
201942,5
201960,4
1629028,2
1626153,6
203471,6
1628372,6
202324,3
1627884,8
201565,6
1628401,7
1626164,5
2734,6
203473,8
203079,6
1627734,2
1628378,5
1627827,8
203926,4
203110,1
203939,3
2548,6
202734,8
202334,3
203901,6
202339,6
201569,4
101141,8
203095,4
202323,6
1627832,6
202066,4
203914,4
201588,7
101123,4
203507,2
202330,8
203476,8
203084,1
202355,3
1627826,3
200755,7
203210,8
201580,3
203109,4
1627774,8
1627751,3
1628973,6
2037,6
1627750,5
201935,5
201949,8
201162,4
1628991,2
1628386,3
1627759,8
1628369,1
201145,8
201952,6
203924,8
203087,4
202391,6
202710,1
204060,7
203954,2
1628381,3
201973,8
202685,2
1628371,8
203613,6
203903,4
1628404,4
1628367,8
1629006,4
201950,5
203944,2
203200,4
1626159,6
203994,2
1626157,2
202695,1
203482,8
1626162,4
1629026,7
203145,4
203484,4
201142,1
1628989,4
1628995,4
1626172,8
203114,1
202691,1
1627739,6
203937,8
2594,4
1628398,1
200768,5
202681,5
200746,2
202362,4
1629013,4
1626204,3
1628374,1
2544,5
1628366,6
101150,6
1629029,5
1628379,4
1627763,4
1627736,4
1628370,4
201188,2
201158,4
202694,1
203935,6
1626209,8
202693,1
1628963,2
101107,4
203486,3
1628467,8
203090,8
203077,8
1628969,4
201144,5
203488,4
203118,4
1628970,8
1629011,3
1626149,3
1628420,6
1626167,1
202357,8
201587,4
203917,4
203999,2
202703,1
202696,2
1626181,4
1628384,8
200782,4
1627783,1
1626192,7
201976,6
201988,6
202331,1
200794,1
200765,6
203493,4
1626158,3
201937,6
203496,4
203918,4
203585,4
1626178,8
1626220,4
200752,1
201566,5
203497,3
203552,4
1628983,6
202714,6
203915,5
201939,5
203500,2
204456,6
203933,1
201959,3
1627752,4
1626179,6
203082,4
201152,1
1628418,3
203501,4
202699,1
203107,6
2225,6
1628470,8
203503,4
1629027,5
203504,6
202684,3
1626168,8
1626145,6
203506,6
1713,4
201961,4
1628976,3
202083,1
203115,4
1626161,3
201163,8
1627812,6
203897,5
1628380,8
