2025-04-29 15:36:41,578 - INFO - Starting data fetch process...
2025-04-29 15:36:41,579 - INFO - Database connection established successfully.
2025-04-29 15:36:41,580 - ERROR - Error in fetch_all_data: no such table: nba_games
2025-04-29 15:36:41,580 - ERROR - Error in main process: no such table: nba_games
2025-04-29 15:37:12,844 - INFO - Starting data fetch process...
2025-04-29 15:37:12,844 - INFO - Database connection established successfully.
2025-04-29 15:37:12,845 - INFO - Found 0 unprocessed games
2025-04-29 15:37:12,845 - INFO - Data fetch process completed successfully.
2025-04-29 15:38:23,125 - INFO - Starting data fetch process...
2025-04-29 15:38:23,125 - INFO - Database connection established successfully.
2025-04-29 15:38:23,126 - INFO - Found 100 unprocessed games
2025-04-29 15:38:23,128 - ERROR - Error fetching team dashboard data for team 1610612758, game 0022401184: NBAStatsClient.get_team_dashboard() got an unexpected keyword argument 'date_from'
2025-04-29 15:38:23,128 - INFO - Fetching Base team dashboard data for team 1610612745, game 0022401185
2025-04-29 15:38:23,128 - ERROR - Error fetching team dashboard data for team 1610612745, game 0022401185: NBAStatsClient.get_team_dashboard() got an unexpected keyword argument 'date_from'
2025-04-29 15:38:23,128 - INFO - Fetching Base team dashboard data for team 1610612754, game 0022401172
2025-04-29 15:38:23,128 - ERROR - Error fetching team dashboard data for team 1610612754, game 0022401172: NBAStatsClient.get_team_dashboard() got an unexpected keyword argument 'date_from'
2025-04-29 15:38:23,128 - INFO - Fetching Base team dashboard data for team 1610612761, game 0022401178
2025-04-29 15:38:23,128 - ERROR - Error fetching team dashboard data for team 1610612761, game 0022401178: NBAStatsClient.get_team_dashboard() got an unexpected keyword argument 'date_from'
2025-04-29 15:38:23,128 - INFO - Fetching Base team dashboard data for team 1610612741, game 0022401176
2025-04-29 15:38:23,128 - ERROR - Error fetching team dashboard data for team 1610612741, game 0022401176: NBAStatsClient.get_team_dashboard() got an unexpected keyword argument 'date_from'
2025-04-29 15:38:23,128 - INFO - Fetching Base team dashboard data for team 1610612740, game 0022401177
2025-04-29 15:38:23,128 - ERROR - Error fetching team dashboard data for team 1610612740, game 0022401177: NBAStatsClient.get_team_dashboard() got an unexpected keyword argument 'date_from'
2025-04-29 15:38:23,128 - INFO - Fetching Base team dashboard data for team 1610612738, game 0022401174
2025-04-29 15:38:23,128 - ERROR - Error fetching team dashboard data for team 1610612738, game 0022401174: NBAStatsClient.get_team_dashboard() got an unexpected keyword argument 'date_from'
2025-04-29 15:38:23,128 - INFO - Fetching Base team dashboard data for team 1610612749, game 0022401171
2025-04-29 15:38:23,128 - ERROR - Error fetching team dashboard data for team 1610612749, game 0022401171: NBAStatsClient.get_team_dashboard() got an unexpected keyword argument 'date_from'
2025-04-29 15:38:23,128 - INFO - Fetching Base team dashboard data for team 1610612737, game 0022401173
2025-04-29 15:38:23,128 - ERROR - Error fetching team dashboard data for team 1610612737, game 0022401173: NBAStatsClient.get_team_dashboard() got an unexpected keyword argument 'date_from'
2025-04-29 15:38:23,128 - INFO - Fetching Base team dashboard data for team 1610612763, game 0022401170
2025-04-29 15:38:23,128 - ERROR - Error fetching team dashboard data for team 1610612763, game 0022401170: NBAStatsClient.get_team_dashboard() got an unexpected keyword argument 'date_from'
2025-04-29 15:38:23,128 - INFO - Fetching Base team dashboard data for team 1610612737, game 0022401169
2025-04-29 15:38:23,128 - ERROR - Error fetching team dashboard data for team 1610612737, game 0022401169: NBAStatsClient.get_team_dashboard() got an unexpected keyword argument 'date_from'
2025-04-29 15:38:23,128 - INFO - Fetching Base team dashboard data for team 1610612752, game 0022401167
2025-04-29 15:38:23,128 - ERROR - Error fetching team dashboard data for team 1610612752, game 0022401167: NBAStatsClient.get_team_dashboard() got an unexpected keyword argument 'date_from'
2025-04-29 15:38:23,128 - INFO - Fetching Base team dashboard data for team 1610612740, game 0022401161
2025-04-29 15:38:23,128 - ERROR - Error fetching team dashboard data for team 1610612740, game 0022401161: NBAStatsClient.get_team_dashboard() got an unexpected keyword argument 'date_from'
2025-04-29 15:38:23,128 - INFO - Fetching Base team dashboard data for team 1610612739, game 0022401168
2025-04-29 15:38:23,128 - ERROR - Error fetching team dashboard data for team 1610612739, game 0022401168: NBAStatsClient.get_team_dashboard() got an unexpected keyword argument 'date_from'
2025-04-29 15:38:23,128 - INFO - Fetching Base team dashboard data for team 1610612758, game 0022401165
2025-04-29 15:38:23,128 - ERROR - Error fetching team dashboard data for team 1610612758, game 0022401165: NBAStatsClient.get_team_dashboard() got an unexpected keyword argument 'date_from'
2025-04-29 15:38:23,128 - INFO - Fetching Base team dashboard data for team 1610612757, game 0022401162
2025-04-29 15:38:23,128 - ERROR - Error fetching team dashboard data for team 1610612757, game 0022401162: NBAStatsClient.get_team_dashboard() got an unexpected keyword argument 'date_from'
2025-04-29 15:38:23,128 - INFO - Fetching Base team dashboard data for team 1610612746, game 0022401166
2025-04-29 15:38:23,128 - ERROR - Error fetching team dashboard data for team 1610612746, game 0022401166: NBAStatsClient.get_team_dashboard() got an unexpected keyword argument 'date_from'
2025-04-29 15:38:23,128 - INFO - Fetching Base team dashboard data for team 1610612738, game 0022401156
2025-04-29 15:38:23,128 - ERROR - Error fetching team dashboard data for team 1610612738, game 0022401156: NBAStatsClient.get_team_dashboard() got an unexpected keyword argument 'date_from'
2025-04-29 15:38:23,128 - INFO - Fetching Base team dashboard data for team 1610612747, game 0022401159
2025-04-29 15:38:23,128 - ERROR - Error fetching team dashboard data for team 1610612747, game 0022401159: NBAStatsClient.get_team_dashboard() got an unexpected keyword argument 'date_from'
2025-04-29 15:38:23,128 - INFO - Fetching Base team dashboard data for team 1610612741, game 0022401160
2025-04-29 15:38:23,128 - ERROR - Error fetching team dashboard data for team 1610612741, game 0022401160: NBAStatsClient.get_team_dashboard() got an unexpected keyword argument 'date_from'
2025-04-29 15:38:23,128 - INFO - Fetching Base team dashboard data for team 1610612755, game 0022401157
2025-04-29 15:38:23,129 - ERROR - Error fetching team dashboard data for team 1610612755, game 0022401157: NBAStatsClient.get_team_dashboard() got an unexpected keyword argument 'date_from'
2025-04-29 15:38:23,129 - INFO - Fetching Base team dashboard data for team 1610612766, game 0022401158
2025-04-29 15:38:23,129 - ERROR - Error fetching team dashboard data for team 1610612766, game 0022401158: NBAStatsClient.get_team_dashboard() got an unexpected keyword argument 'date_from'
2025-04-29 15:38:23,129 - INFO - Fetching Base team dashboard data for team 1610612760, game 0022401164
2025-04-29 15:38:23,129 - ERROR - Error fetching team dashboard data for team 1610612760, game 0022401164: NBAStatsClient.get_team_dashboard() got an unexpected keyword argument 'date_from'
2025-04-29 15:38:23,129 - INFO - Fetching Base team dashboard data for team 1610612744, game 0022401163
2025-04-29 15:38:23,129 - ERROR - Error fetching team dashboard data for team 1610612744, game 0022401163: NBAStatsClient.get_team_dashboard() got an unexpected keyword argument 'date_from'
2025-04-29 15:38:23,129 - INFO - Fetching Base team dashboard data for team 1610612763, game 0022401146
2025-04-29 15:38:23,129 - ERROR - Error fetching team dashboard data for team 1610612763, game 0022401146: NBAStatsClient.get_team_dashboard() got an unexpected keyword argument 'date_from'
2025-04-29 15:38:23,129 - INFO - Fetching Base team dashboard data for team 1610612753, game 0022401149
2025-04-29 15:38:23,129 - ERROR - Error fetching team dashboard data for team 1610612753, game 0022401149: NBAStatsClient.get_team_dashboard() got an unexpected keyword argument 'date_from'
2025-04-29 15:38:23,129 - INFO - Fetching Base team dashboard data for team 1610612741, game 0022401147
2025-04-29 15:38:23,129 - ERROR - Error fetching team dashboard data for team 1610612741, game 0022401147: NBAStatsClient.get_team_dashboard() got an unexpected keyword argument 'date_from'
2025-04-29 15:38:23,129 - INFO - Fetching Base team dashboard data for team 1610612764, game 0022401148
2025-04-29 15:38:23,129 - ERROR - Error fetching team dashboard data for team 1610612764, game 0022401148: NBAStatsClient.get_team_dashboard() got an unexpected keyword argument 'date_from'
2025-04-29 15:38:23,129 - INFO - Fetching Base team dashboard data for team 1610612751, game 0022401150
2025-04-29 15:38:23,129 - ERROR - Error fetching team dashboard data for team 1610612751, game 0022401150: NBAStatsClient.get_team_dashboard() got an unexpected keyword argument 'date_from'
2025-04-29 15:38:23,129 - INFO - Fetching Base team dashboard data for team 1610612738, game 0022401151
2025-04-29 15:38:23,129 - ERROR - Error fetching team dashboard data for team 1610612738, game 0022401151: NBAStatsClient.get_team_dashboard() got an unexpected keyword argument 'date_from'
2025-04-29 15:38:23,129 - INFO - Fetching Base team dashboard data for team 1610612756, game 0022401154
2025-04-29 15:38:23,129 - ERROR - Error fetching team dashboard data for team 1610612756, game 0022401154: NBAStatsClient.get_team_dashboard() got an unexpected keyword argument 'date_from'
2025-04-29 15:38:23,129 - INFO - Fetching Base team dashboard data for team 1610612749, game 0022401152
2025-04-29 15:38:23,129 - ERROR - Error fetching team dashboard data for team 1610612749, game 0022401152: NBAStatsClient.get_team_dashboard() got an unexpected keyword argument 'date_from'
2025-04-29 15:38:23,129 - INFO - Fetching Base team dashboard data for team 1610612747, game 0022401153
2025-04-29 15:38:23,129 - ERROR - Error fetching team dashboard data for team 1610612747, game 0022401153: NBAStatsClient.get_team_dashboard() got an unexpected keyword argument 'date_from'
2025-04-29 15:38:23,129 - INFO - Fetching Base team dashboard data for team 1610612746, game 0022401155
2025-04-29 15:38:23,129 - ERROR - Error fetching team dashboard data for team 1610612746, game 0022401155: NBAStatsClient.get_team_dashboard() got an unexpected keyword argument 'date_from'
2025-04-29 15:38:23,129 - INFO - Fetching Base team dashboard data for team 1610612748, game 0022401145
2025-04-29 15:38:23,129 - ERROR - Error fetching team dashboard data for team 1610612748, game 0022401145: NBAStatsClient.get_team_dashboard() got an unexpected keyword argument 'date_from'
2025-04-29 15:38:23,129 - INFO - Fetching Base team dashboard data for team 1610612758, game 0022401144
2025-04-29 15:38:23,129 - ERROR - Error fetching team dashboard data for team 1610612758, game 0022401144: NBAStatsClient.get_team_dashboard() got an unexpected keyword argument 'date_from'
2025-04-29 15:38:23,129 - INFO - Fetching Base team dashboard data for team 1610612741, game 0022401133
2025-04-29 15:38:23,129 - ERROR - Error fetching team dashboard data for team 1610612741, game 0022401133: NBAStatsClient.get_team_dashboard() got an unexpected keyword argument 'date_from'
2025-04-29 15:38:23,129 - INFO - Fetching Base team dashboard data for team 1610612747, game 0022401135
2025-04-29 15:38:23,129 - ERROR - Error fetching team dashboard data for team 1610612747, game 0022401135: NBAStatsClient.get_team_dashboard() got an unexpected keyword argument 'date_from'
2025-04-29 15:38:23,129 - INFO - Fetching Base team dashboard data for team 1610612751, game 0022401134
2025-04-29 15:38:23,129 - ERROR - Error fetching team dashboard data for team 1610612751, game 0022401134: NBAStatsClient.get_team_dashboard() got an unexpected keyword argument 'date_from'
2025-04-29 15:38:23,129 - INFO - Fetching Base team dashboard data for team 1610612762, game 0022401136
2025-04-29 15:38:23,129 - ERROR - Error fetching team dashboard data for team 1610612762, game 0022401136: NBAStatsClient.get_team_dashboard() got an unexpected keyword argument 'date_from'
2025-04-29 15:38:23,129 - INFO - Fetching Base team dashboard data for team 1610612752, game 0022401140
2025-04-29 15:38:23,129 - ERROR - Error fetching team dashboard data for team 1610612752, game 0022401140: NBAStatsClient.get_team_dashboard() got an unexpected keyword argument 'date_from'
2025-04-29 15:38:23,130 - INFO - Fetching Base team dashboard data for team 1610612738, game 0022401137
2025-04-29 15:38:23,130 - ERROR - Error fetching team dashboard data for team 1610612738, game 0022401137: NBAStatsClient.get_team_dashboard() got an unexpected keyword argument 'date_from'
2025-04-29 15:38:23,130 - INFO - Fetching Base team dashboard data for team 1610612743, game 0022401142
2025-04-29 15:38:23,130 - ERROR - Error fetching team dashboard data for team 1610612743, game 0022401142: NBAStatsClient.get_team_dashboard() got an unexpected keyword argument 'date_from'
2025-04-29 15:38:23,130 - INFO - Fetching Base team dashboard data for team 1610612749, game 0022400617
2025-04-29 15:38:23,130 - ERROR - Error fetching team dashboard data for team 1610612749, game 0022400617: NBAStatsClient.get_team_dashboard() got an unexpected keyword argument 'date_from'
2025-04-29 15:38:23,130 - INFO - Fetching Base team dashboard data for team 1610612744, game 0022401143
2025-04-29 15:38:23,130 - ERROR - Error fetching team dashboard data for team 1610612744, game 0022401143: NBAStatsClient.get_team_dashboard() got an unexpected keyword argument 'date_from'
2025-04-29 15:38:23,130 - INFO - Fetching Base team dashboard data for team 1610612758, game 0022401138
2025-04-29 15:38:23,130 - ERROR - Error fetching team dashboard data for team 1610612758, game 0022401138: NBAStatsClient.get_team_dashboard() got an unexpected keyword argument 'date_from'
2025-04-29 15:38:23,130 - INFO - Fetching Base team dashboard data for team 1610612759, game 0022401139
2025-04-29 15:38:23,130 - ERROR - Error fetching team dashboard data for team 1610612759, game 0022401139: NBAStatsClient.get_team_dashboard() got an unexpected keyword argument 'date_from'
2025-04-29 15:38:23,130 - INFO - Fetching Base team dashboard data for team 1610612752, game 0022401128
2025-04-29 15:38:23,130 - ERROR - Error fetching team dashboard data for team 1610612752, game 0022401128: NBAStatsClient.get_team_dashboard() got an unexpected keyword argument 'date_from'
2025-04-29 15:38:23,130 - INFO - Fetching Base team dashboard data for team 1610612755, game 0022401130
2025-04-29 15:38:23,130 - ERROR - Error fetching team dashboard data for team 1610612755, game 0022401130: NBAStatsClient.get_team_dashboard() got an unexpected keyword argument 'date_from'
2025-04-29 15:38:23,130 - INFO - Fetching Base team dashboard data for team 1610612763, game 0022401129
2025-04-29 15:38:23,130 - ERROR - Error fetching team dashboard data for team 1610612763, game 0022401129: NBAStatsClient.get_team_dashboard() got an unexpected keyword argument 'date_from'
2025-04-29 15:38:23,130 - INFO - Fetching Base team dashboard data for team 1610612748, game 0022401131
2025-04-29 15:38:23,130 - ERROR - Error fetching team dashboard data for team 1610612748, game 0022401131: NBAStatsClient.get_team_dashboard() got an unexpected keyword argument 'date_from'
2025-04-29 15:38:23,131 - INFO - Fetching Base team dashboard data for team 1610612742, game 0022401132
2025-04-29 15:38:23,131 - ERROR - Error fetching team dashboard data for team 1610612742, game 0022401132: NBAStatsClient.get_team_dashboard() got an unexpected keyword argument 'date_from'
2025-04-29 15:38:23,131 - INFO - Fetching Base team dashboard data for team 1610612758, game 0022401118
2025-04-29 15:38:23,131 - ERROR - Error fetching team dashboard data for team 1610612758, game 0022401118: NBAStatsClient.get_team_dashboard() got an unexpected keyword argument 'date_from'
2025-04-29 15:38:23,131 - INFO - Fetching Base team dashboard data for team 1610612738, game 0022401120
2025-04-29 15:38:23,131 - ERROR - Error fetching team dashboard data for team 1610612738, game 0022401120: NBAStatsClient.get_team_dashboard() got an unexpected keyword argument 'date_from'
2025-04-29 15:38:23,131 - INFO - Fetching Base team dashboard data for team 1610612759, game 0022401124
2025-04-29 15:38:23,131 - ERROR - Error fetching team dashboard data for team 1610612759, game 0022401124: NBAStatsClient.get_team_dashboard() got an unexpected keyword argument 'date_from'
2025-04-29 15:38:23,131 - INFO - Fetching Base team dashboard data for team 1610612745, game 0022401123
2025-04-29 15:38:23,131 - ERROR - Error fetching team dashboard data for team 1610612745, game 0022401123: NBAStatsClient.get_team_dashboard() got an unexpected keyword argument 'date_from'
2025-04-29 15:38:23,131 - INFO - Fetching Base team dashboard data for team 1610612761, game 0022401121
2025-04-29 15:38:23,132 - ERROR - Error fetching team dashboard data for team 1610612761, game 0022401121: NBAStatsClient.get_team_dashboard() got an unexpected keyword argument 'date_from'
2025-04-29 15:38:23,132 - INFO - Fetching Base team dashboard data for team 1610612762, game 0022401119
2025-04-29 15:38:23,132 - ERROR - Error fetching team dashboard data for team 1610612762, game 0022401119: NBAStatsClient.get_team_dashboard() got an unexpected keyword argument 'date_from'
2025-04-29 15:38:23,132 - INFO - Fetching Base team dashboard data for team 1610612741, game 0022401122
2025-04-29 15:38:23,132 - ERROR - Error fetching team dashboard data for team 1610612741, game 0022401122: NBAStatsClient.get_team_dashboard() got an unexpected keyword argument 'date_from'
2025-04-29 15:38:23,132 - INFO - Fetching Base team dashboard data for team 1610612743, game 0022401125
2025-04-29 15:38:23,132 - ERROR - Error fetching team dashboard data for team 1610612743, game 0022401125: NBAStatsClient.get_team_dashboard() got an unexpected keyword argument 'date_from'
2025-04-29 15:38:23,132 - INFO - Fetching Base team dashboard data for team 1610612742, game 0022401127
2025-04-29 15:38:23,132 - ERROR - Error fetching team dashboard data for team 1610612742, game 0022401127: NBAStatsClient.get_team_dashboard() got an unexpected keyword argument 'date_from'
2025-04-29 15:38:23,132 - INFO - Fetching Base team dashboard data for team 1610612747, game 0022401126
2025-04-29 15:38:23,132 - ERROR - Error fetching team dashboard data for team 1610612747, game 0022401126: NBAStatsClient.get_team_dashboard() got an unexpected keyword argument 'date_from'
2025-04-29 15:38:23,132 - INFO - Fetching Base team dashboard data for team 1610612755, game 0022401115
2025-04-29 15:38:23,132 - ERROR - Error fetching team dashboard data for team 1610612755, game 0022401115: NBAStatsClient.get_team_dashboard() got an unexpected keyword argument 'date_from'
2025-04-29 15:38:23,132 - INFO - Fetching Base team dashboard data for team 1610612753, game 0022401112
2025-04-29 15:38:23,132 - ERROR - Error fetching team dashboard data for team 1610612753, game 0022401112: NBAStatsClient.get_team_dashboard() got an unexpected keyword argument 'date_from'
2025-04-29 15:38:23,132 - INFO - Fetching Base team dashboard data for team 1610612757, game 0022401116
2025-04-29 15:38:23,132 - ERROR - Error fetching team dashboard data for team 1610612757, game 0022401116: NBAStatsClient.get_team_dashboard() got an unexpected keyword argument 'date_from'
2025-04-29 15:38:23,132 - INFO - Fetching Base team dashboard data for team 1610612750, game 0022401113
2025-04-29 15:38:23,132 - ERROR - Error fetching team dashboard data for team 1610612750, game 0022401113: NBAStatsClient.get_team_dashboard() got an unexpected keyword argument 'date_from'
2025-04-29 15:38:23,132 - INFO - Fetching Base team dashboard data for team 1610612763, game 0022401114
2025-04-29 15:38:23,132 - ERROR - Error fetching team dashboard data for team 1610612763, game 0022401114: NBAStatsClient.get_team_dashboard() got an unexpected keyword argument 'date_from'
2025-04-29 15:38:23,132 - INFO - Fetching Base team dashboard data for team 1610612747, game 0022401117
2025-04-29 15:38:23,132 - ERROR - Error fetching team dashboard data for team 1610612747, game 0022401117: NBAStatsClient.get_team_dashboard() got an unexpected keyword argument 'date_from'
2025-04-29 15:38:23,132 - INFO - Fetching Base team dashboard data for team 1610612740, game 0022401111
2025-04-29 15:38:23,132 - ERROR - Error fetching team dashboard data for team 1610612740, game 0022401111: NBAStatsClient.get_team_dashboard() got an unexpected keyword argument 'date_from'
2025-04-29 15:38:23,132 - INFO - Fetching Base team dashboard data for team 1610612765, game 0022401108
2025-04-29 15:38:23,132 - ERROR - Error fetching team dashboard data for team 1610612765, game 0022401108: NBAStatsClient.get_team_dashboard() got an unexpected keyword argument 'date_from'
2025-04-29 15:38:23,133 - INFO - Fetching Base team dashboard data for team 1610612743, game 0022401110
2025-04-29 15:38:23,133 - ERROR - Error fetching team dashboard data for team 1610612743, game 0022401110: NBAStatsClient.get_team_dashboard() got an unexpected keyword argument 'date_from'
2025-04-29 15:38:23,133 - INFO - Fetching Base team dashboard data for team 1610612766, game 0022401104
2025-04-29 15:38:23,133 - ERROR - Error fetching team dashboard data for team 1610612766, game 0022401104: NBAStatsClient.get_team_dashboard() got an unexpected keyword argument 'date_from'
2025-04-29 15:38:23,133 - INFO - Fetching Base team dashboard data for team 1610612764, game 0022401105
2025-04-29 15:38:23,133 - ERROR - Error fetching team dashboard data for team 1610612764, game 0022401105: NBAStatsClient.get_team_dashboard() got an unexpected keyword argument 'date_from'
2025-04-29 15:38:23,133 - INFO - Fetching Base team dashboard data for team 1610612739, game 0022401103
2025-04-29 15:38:23,133 - ERROR - Error fetching team dashboard data for team 1610612739, game 0022401103: NBAStatsClient.get_team_dashboard() got an unexpected keyword argument 'date_from'
2025-04-29 15:38:23,133 - INFO - Fetching Base team dashboard data for team 1610612748, game 0022401106
2025-04-29 15:38:23,133 - ERROR - Error fetching team dashboard data for team 1610612748, game 0022401106: NBAStatsClient.get_team_dashboard() got an unexpected keyword argument 'date_from'
2025-04-29 15:38:23,133 - INFO - Fetching Base team dashboard data for team 1610612762, game 0022401107
2025-04-29 15:38:23,133 - ERROR - Error fetching team dashboard data for team 1610612762, game 0022401107: NBAStatsClient.get_team_dashboard() got an unexpected keyword argument 'date_from'
2025-04-29 15:38:23,133 - INFO - Fetching Base team dashboard data for team 1610612742, game 0022401109
2025-04-29 15:38:23,133 - ERROR - Error fetching team dashboard data for team 1610612742, game 0022401109: NBAStatsClient.get_team_dashboard() got an unexpected keyword argument 'date_from'
2025-04-29 15:38:23,133 - INFO - Fetching Base team dashboard data for team 1610612750, game 0022401102
2025-04-29 15:38:23,133 - ERROR - Error fetching team dashboard data for team 1610612750, game 0022401102: NBAStatsClient.get_team_dashboard() got an unexpected keyword argument 'date_from'
2025-04-29 15:38:23,133 - INFO - Fetching Base team dashboard data for team 1610612741, game 0022401099
2025-04-29 15:38:23,133 - ERROR - Error fetching team dashboard data for team 1610612741, game 0022401099: NBAStatsClient.get_team_dashboard() got an unexpected keyword argument 'date_from'
2025-04-29 15:38:23,133 - INFO - Data fetch process completed successfully.
2025-04-29 15:39:33,164 - INFO - Starting data fetch process...
2025-04-29 15:39:33,165 - INFO - Database connection established successfully.
2025-04-29 15:39:33,168 - INFO - Found 100 unprocessed games
2025-04-29 15:39:33,168 - INFO - Fetching Base team dashboard data for team 1610612748, game 0022401190
2025-04-29 15:39:34,170 - ERROR - Error in database writer thread: 
2025-04-29 15:39:35,175 - ERROR - Error in database writer thread: 
2025-04-29 15:39:36,178 - ERROR - Error in database writer thread: 
