cluster,size,FTPCT,TSPCT,THPAr,FTr,TRBPCT,ASTPCT,AVGDIST,Zto3r,THto10r,TENto16r,SIXTto3PTr,HEIGHT,WINGSPAN,FRNTCTTCH,TOP,AVGSECPERTCH,AVGDRIBPERTCH,ELBWTCH,POSTUPS,PNTTOUCH,DRIVES,DRFGA,DRPTSPCT,DRPASSPCT,DRASTPCT,DRTOVPCT,DRPFPCT,DRIMFGPCT,CSFGA,CS3PA,PASSESMADE,SECAST,POTAST,PUFGA,PU3PA,PSTUPFGA,PSTUPPTSPCT,PSTUPPASSPCT,PSTUPASTPCT,PSTUPTOVPCT,PNTTCHS,PNTFGA,PNTPTSPCT,PNTPASSPCT,PNTASTPCT,PNTTVPCT,AVGFGATTEMPTEDAGAINSTPERGAME
0,18,0.8147222222222221,0.5763888888888888,0.37872310059016423,0.2513521118470822,0.07594444444444444,0.23344444444444445,14.293918792727718,0.2025508778599844,0.1918795873495516,0.14711022423262715,0.058612070753081155,77.27777777777777,80.91666666666667,30.211111111111116,3.688888888888889,3.7616666666666663,3.0611111111111113,1.1444444444444444,1.1888888888888889,1.7833333333333334,8.538888888888888,3.822222222222223,0.5086111111111111,0.4036666666666667,0.0993888888888889,0.057555555555555554,0.06394444444444443,0.6435024588490572,3.1666666666666665,2.877777777777778,41.3111111111111,0.6333333333333333,8.488888888888887,4.883333333333335,1.6555555555555554,0.5666666666666668,0.45927777777777784,0.31472222222222224,0.06583333333333334,0.035055555555555555,1.7833333333333334,0.9055555555555556,0.6633888888888888,0.35888888888888887,0.07755555555555556,0.04427777777777778,0.9253932810149009
1,37,0.8513783783783783,0.5772432432432433,0.44762944055296744,0.27388598276051623,0.0647027027027027,0.2737027027027027,15.817055300480087,0.020437003150354845,0.019641641252755145,0.012972313764110678,0.0063557802644293795,75.97297297297297,47.148648648648646,30.572972972972973,5.348648648648648,4.522702702702704,4.05,0.5189189189189188,0.30810810810810807,0.9216216216216214,12.075675675675674,5.416216216216216,0.5088648648648648,0.3898918918918919,0.10294594594594594,0.061972972972972974,0.07254054054054052,0.6389897335877857,3.1459459459459462,3.0135135135135136,47.313513513513506,0.8486486486486486,10.586486486486487,7.427027027027026,4.167567567567568,0.14324324324324325,0.1871081081081081,0.3473243243243243,0.12232432432432434,0.08316216216216216,0.9216216216216214,0.5054054054054052,0.5964594594594594,0.32799999999999996,0.06732432432432431,0.05510810810810811,0.9253431268855768
2,57,0.7813859649122806,0.5758245614035088,0.46427287369625264,0.2196409108451835,0.08280701754385966,0.11887719298245614,14.34997001995581,0.030341948668414595,0.018283811443116593,0.007267064368596461,0.0030258417291745927,79.10526315789474,54.07017543859649,24.121052631578944,1.7263157894736838,2.337368421052632,1.5578947368421052,0.8350877192982457,0.5140350877192983,2.036842105263158,4.814035087719298,2.401754385964912,0.47742105263157897,0.3237543859649123,0.0760701754385965,0.06794736842105263,0.0775263157894737,0.640918741169365,4.008771929824562,3.836842105263158,29.00526315789473,0.31754385964912285,4.0017543859649125,2.0578947368421057,0.9333333333333332,0.23157894736842108,0.4038596491228071,0.30928070175438593,0.06629824561403509,0.054982456140350876,2.036842105263158,1.2140350877192982,0.6335789473684211,0.2598947368421053,0.0482280701754386,0.044736842105263165,0.8105046991389587
3,11,0.7599090909090908,0.621909090909091,0.22210148792157824,0.3262369786431338,0.15436363636363637,0.2000909090909091,10.259692062271727,0.2065950097108023,0.12336450493368192,0.04930727277414005,0.02751316453017494,82.45454545454545,39.61363636363637,38.79090909090909,2.7363636363636363,2.4418181818181814,1.3754545454545453,4.627272727272727,4.0181818181818185,7.218181818181819,4.836363636363637,2.545454545454546,0.515,0.2629090909090909,0.054909090909090914,0.05618181818181818,0.1089090909090909,0.6404402363622468,3.527272727272727,2.7181818181818183,44.31818181818182,0.4636363636363636,7.145454545454545,2.3454545454545457,0.43636363636363645,1.7909090909090906,0.5342727272727273,0.3500909090909091,0.08481818181818182,0.07045454545454546,7.218181818181819,4.499999999999999,0.6697272727272726,0.1960909090909091,0.04209090909090909,0.051818181818181826,0.9450846075207447
4,34,0.7892352941176469,0.5829411764705883,0.6264657241132631,0.1314809492581069,0.06626470588235293,0.13558823529411765,17.85666769996738,0.017141975801310678,0.014602919984984196,0.014169946670130348,0.012054042452716872,76.82352941176471,49.5735294117647,17.811764705882354,1.5176470588235293,2.5991176470588235,1.9114705882352945,0.4235294117647059,0.02058823529411765,1.0176470588235293,3.364705882352941,1.2470588235294116,0.45273529411764707,0.5134117647058825,0.13929411764705882,0.06452941176470588,0.0403235294117647,0.6260152569109989,3.461764705882353,3.376470588235294,24.729411764705883,0.31176470588235294,3.8176470588235296,1.6382352941176472,0.9264705882352943,0.008823529411764707,0.18658823529411767,0.08970588235294118,0.0058823529411764705,0.011764705882352941,1.0176470588235293,0.4294117647058824,0.6200000000000001,0.46326470588235286,0.09694117647058824,0.055882352941176466,0.6131126235322171
5,21,0.6737619047619048,0.6214285714285714,0.07282663026642215,0.3447240056521104,0.15928571428571428,0.11257142857142859,5.0929213887772855,0.12381223794988624,0.046305221223990195,0.004677462970500092,0.0011521588997602853,82.57142857142857,53.714285714285715,21.46190476190476,0.9666666666666666,1.620952380952381,0.5623809523809524,3.076190476190477,0.6095238095238096,6.633333333333333,0.9142857142857144,0.5238095238095237,0.5002380952380953,0.24971428571428575,0.05766666666666667,0.07252380952380953,0.08404761904761905,0.6263016084324468,1.080952380952381,0.4809523809523809,26.06666666666667,0.19047619047619052,2.866666666666667,0.2523809523809524,0.014285714285714287,0.33809523809523806,0.43771428571428583,0.20823809523809528,0.04138095238095238,0.05247619047619048,6.633333333333333,3.9523809523809526,0.6589999999999999,0.24190476190476196,0.04304761904761906,0.05161904761904762,0.6729035246900024
